measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Sub-Saharan Africa - WB,Both,5-14 years,Malaria,Number,2002,32611.255598523043,54011.03839124245,15689.20258682626
Deaths,Sub-Saharan Africa - WB,Both,15-49 years,Malaria,Number,2002,91308.80962485279,155829.41907689057,42898.73588735973
Deaths,Sub-Saharan Africa - WB,Both,50 to 74 years,Malaria,Number,2002,108532.75554127495,182696.37578461217,51669.596832681425
Deaths,Sub-Saharan Africa - WB,Both,75 plus,Malaria,Number,2002,6443.682191587452,11284.122416939987,2851.0840458389907
Deaths,South Asia - WB,Both,Under 5,Malaria,Number,2002,38565.41392940768,68727.34445891228,19069.41436249194
Deaths,South Asia - WB,Both,5-14 years,Malaria,Number,2002,28099.93460739264,44024.760091204844,15785.085546497765
Deaths,South Asia - WB,Both,15-49 years,Malaria,Number,2002,17232.62780047384,28035.59293657498,9658.759403007556
Deaths,South Asia - WB,Both,50 to 74 years,Malaria,Number,2002,11946.073851499976,19861.545988509733,6549.690238010988
Deaths,South Asia - WB,Both,75 plus,Malaria,Number,2002,473.3839298700254,799.9918235226717,249.77298926937772
Deaths,North America,Both,Under 5,Malaria,Number,2002,0.0,0.0,0.0
Deaths,North America,Both,5-14 years,Malaria,Number,2002,0.0,0.0,0.0
Deaths,North America,Both,15-49 years,Malaria,Number,2002,0.0,0.0,0.0
Deaths,North America,Both,50 to 74 years,Malaria,Number,2002,0.0,0.0,0.0
Deaths,North America,Both,75 plus,Malaria,Number,2002,0.0,0.0,0.0
Deaths,Europe & Central Asia - WB,Both,Under 5,Malaria,Number,2003,25.019413023445345,70.3882210656909,9.950977665705768
Deaths,Europe & Central Asia - WB,Both,5-14 years,Malaria,Number,2003,1.316243288458127,3.6890763553256005,0.5542056962180951
Deaths,Europe & Central Asia - WB,Both,15-49 years,Malaria,Number,2003,19.676530829397635,52.421095422046626,8.989298928032124
Deaths,Europe & Central Asia - WB,Both,50 to 74 years,Malaria,Number,2003,8.413086031121797,19.78045606442514,4.732729057051957
Deaths,Europe & Central Asia - WB,Both,75 plus,Malaria,Number,2003,2.75144321404999,4.419197177680581,1.9380180600961485
Deaths,Middle East & North Africa - WB,Both,Under 5,Malaria,Number,2003,197.75409658133898,442.8803157505543,63.50330250190331
Deaths,Middle East & North Africa - WB,Both,5-14 years,Malaria,Number,2003,78.49833115597885,173.94040329807535,24.497491881551333
Deaths,Middle East & North Africa - WB,Both,15-49 years,Malaria,Number,2003,3441.4047006043966,6748.670486130251,1180.497923236411
Deaths,Middle East & North Africa - WB,Both,50 to 74 years,Malaria,Number,2003,936.4201603768122,2025.7077322539938,273.6508449004981
Deaths,Middle East & North Africa - WB,Both,75 plus,Malaria,Number,2003,120.94017321958084,268.48610727695046,33.03530659266021
Deaths,East Asia & Pacific - WB,Both,Under 5,Malaria,Number,2004,2782.8173805069346,5989.43848085332,1100.3578800322425
Deaths,East Asia & Pacific - WB,Both,5-14 years,Malaria,Number,2004,1130.7683431668845,2356.0667544911394,467.05262870218974
Deaths,East Asia & Pacific - WB,Both,15-49 years,Malaria,Number,2004,6152.248483545392,12429.569857954155,2638.9454504128294
Deaths,East Asia & Pacific - WB,Both,50 to 74 years,Malaria,Number,2004,3199.456417963799,6442.064841882872,1320.5233668470141
Deaths,East Asia & Pacific - WB,Both,75 plus,Malaria,Number,2004,246.1353744141832,503.2462414102239,99.5721710219888
Deaths,Latin America & Caribbean - WB,Both,Under 5,Malaria,Number,2004,421.78943715120664,784.680811000892,160.91582647602888
Deaths,Latin America & Caribbean - WB,Both,5-14 years,Malaria,Number,2004,276.94505498939805,502.4058264288145,106.57355337899078
Deaths,Latin America & Caribbean - WB,Both,15-49 years,Malaria,Number,2004,1013.7812406540282,1873.0084993879298,426.25573518407214
Deaths,Latin America & Caribbean - WB,Both,50 to 74 years,Malaria,Number,2004,377.85155507619453,708.4526717692215,156.68026585259696
Deaths,Latin America & Caribbean - WB,Both,75 plus,Malaria,Number,2004,33.123402248795536,61.550349495291215,14.788780961760121
Deaths,Sub-Saharan Africa - WB,Both,Under 5,Malaria,Number,2004,592486.0141365196,934221.8810268625,302433.7966953399
Deaths,Sub-Saharan Africa - WB,Both,5-14 years,Malaria,Number,2004,34795.46989160424,56608.495247976425,16756.289828678808
Deaths,Sub-Saharan Africa - WB,Both,15-49 years,Malaria,Number,2004,95351.57594588803,158420.0872052942,46156.14567947722
Deaths,Sub-Saharan Africa - WB,Both,50 to 74 years,Malaria,Number,2004,112355.10931607395,183142.00711747358,55621.7434617561
Deaths,Sub-Saharan Africa - WB,Both,75 plus,Malaria,Number,2004,13289.471595876847,19961.21740402214,7239.595460367781
Deaths,South Asia - WB,Both,Under 5,Malaria,Number,2004,35284.55320367004,62414.15218610521,16094.11138845474
Deaths,South Asia - WB,Both,5-14 years,Malaria,Number,2004,27358.54774270811,43729.80445073747,14903.538983782038
Deaths,South Asia - WB,Both,15-49 years,Malaria,Number,2004,17423.03054548518,28132.360129910812,8942.440413853526
Deaths,South Asia - WB,Both,50 to 74 years,Malaria,Number,2004,11356.513671739782,18643.344283036833,5737.54876909728
Deaths,South Asia - WB,Both,75 plus,Malaria,Number,2004,1202.991565004141,2064.1567672807178,592.0436755673578
Deaths,North America,Both,Under 5,Malaria,Number,2004,0.0,0.0,0.0
Deaths,North America,Both,5-14 years,Malaria,Number,2004,0.0,0.0,0.0
Deaths,North America,Both,15-49 years,Malaria,Number,2004,0.0,0.0,0.0
Deaths,North America,Both,50 to 74 years,Malaria,Number,2004,0.0,0.0,0.0
Deaths,North America,Both,75 plus,Malaria,Number,2004,0.0,0.0,0.0
Deaths,Latin America & Caribbean - WB,Both,Under 5,Malaria,Number,2001,1049.065866875329,1976.8110619112886,415.4269995644092
Deaths,Latin America & Caribbean - WB,Both,5-14 years,Malaria,Number,2001,701.2097707217376,1291.2023249077215,284.4354066576809
