ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
Lc1033,8,16,20,3,4,19,96,3,4,37,0.630860822,0.1832605,0.51202928,0.850568735,10,1,10,10,78.9525158,1.3570776,3.4641982,33.14665904,6,1,72,0,5,1,Lc
Lc1033,9,17,20,8,4,8,111,16,4,11,0.869719387,0.491910488,0.14040802,0.707537962,3,3,4,4,98.9666605,9.7975604,1.4190812,9.161493945,4.25,0.5,34,0,5,1,Lc
Lc1033,9,18,15,1,5,13,29,0,4,32,0.570732647,0.4680268,0.3340191,0.832894095,2,10,2,10,19.9681421,1.1070633,1.6700955,28.14054254,6,1,72,0,5,1,Lc
Lc1033,10,19,19,4,2,17,230,5,1,121,0.274054638,0.2521811,1.88010755,0.196267193,6,2,6,6,64.6156958,2.1991258,4.2592436,25.53368834,4,0,16,0,5,1,Lc
Lc1033,10,20,10,8,7,6,40,72,68,60,0.154447859,0.300250051,0.120731543,0.127798856,10,1,8,9,6.9263962,23.8073617,9.2025263,8.544773145,4.5,0.5,36,0,5,1,Lc
Lc1033,11,21,17,7,5,18,58,9,13,44,0.454263271,0.0684039,1.003914564,0.639465003,7,10,10,7,27.1125508,1.4040803,14.7888459,29.21194994,5,0.5,40,0,5,1,Lc
Lc1033,11,22,9,6,7,18,32,8,12,39,0.488785533,0.183788311,0.478796615,0.781640189,3,6,6,4,16.2549297,2.4961428,7.0204015,32.18566014,5.5,0.5,44,0,5,1,Lc
Lc1531,1,1,17,4,7,9,475,8,11,16,0.29708422,0.658704333,0.317184808,0.200011447,2,2,2,10,151.3836587,5.928339,3.8062177,3.865851842,3.25,0.5,26,0,6,0,Lc
Lc1531,1,2,17,4,7,16,100,5,7,127,0.425658009,0.231513233,0.233888375,0.270687358,3,7,5,7,44.163526,1.3890794,2.9951713,35.24120064,3,1,36,0,6,0,Lc
Lc1531,2,3,20,6,14,2,347,9,19,2,0.346160604,0.45402597,0.46882681,0.447025567,6,10,2,10,120.4638902,4.5402597,12.6827254,2.952082242,4.75,0,19,0,6,0,Lc
Lc1531,2,4,20,5,5,3,237,6,4,3,0.232496492,0.3698783,0.73304192,0.690289475,7,1,5,7,55.6301819,3.0261731,3.9312248,3.161047442,3,1,36,0,6,0,Lc
Lc1531,3,5,20,3,5,17,121,6,8,48,0.38744839,0.142579586,0.395355944,0.527589785,5,5,6,7,47.2687036,0.9980571,3.5582035,26.72594944,3,1,36,0,6,0,Lc
Lc1531,3,6,20,4,20,13,121,5,79,23,0.324543153,0.543364417,0.442237794,0.588196277,2,3,9,3,39.5942647,4.1332364,35.771046,14.70874454,4.5,0,18,0,6,0,Lc
Lc1531,4,7,20,14,6,3,137,28,6,2,0.513333709,0.466405986,0.490599486,0.8320476,9,10,1,8,71.0110616,14.4458262,4.19624,3.381075142,3.25,0,13,0,6,0,Lc
Lc1531,4,8,20,13,16,16,232,43,29,42,0.360003424,0.329791589,0.347886567,0.573635366,7,7,5,7,84.4748317,15.2898746,11.2926459,24.83533034,2.5,0.5,20,0,6,0,Lc
Lc1531,5,9,19,8,19,10,151,8,85,25,0.324715942,0.237569144,0.446955798,0.170537421,4,10,10,3,49.9828589,2.7771588,38.4381986,4.433972942,4.25,0.5,34,0,6,0,Lc
Lc1531,5,10,13,4,5,20,36,4,6,191,0.346154935,0.22161268,0.414452286,0.364090625,9,1,2,5,12.8077326,1.731099,3.4321963,70.63844184,6,1,72,0,6,0,Lc
Lc1531,6,11,14,4,12,20,78,10,18,83,0.240709971,0.442479855,0.662616842,0.388812585,9,5,5,5,19.1880975,5.4283105,13.0887486,33.33129554,6,1,72,0,6,1,Lc
Lc1531,6,12,17,3,18,7,89,3,90,17,0.404900937,0.6545374,0.458916358,0.326416913,3,8,6,8,36.4750863,3.8192184,41.8073912,6.530541942,4,0,16,0,6,1,Lc
Lc1531,7,13,18,14,19,17,64,44,66,45,0.341296443,0.133118722,0.48919216,0.685060922,9,2,1,2,22.3862804,6.7243846,32.7758747,32.58051234,4.5,0.5,36,0,6,1,Lc
Lc1531,7,14,18,5,12,10,67,4,41,52,0.402611263,0.35882052,0.396308381,0.270884052,3,7,3,5,27.3775659,2.465141,16.644952,14.35685474,6,1,72,0,6,1,Lc
Lc1531,8,15,20,5,17,18,112,4,46,90,0.453663116,0.44622552,0.325337757,0.348243983,7,1,6,7,51.5269472,2.9961713,15.4928862,32.34323974,4.25,0.5,34,0,6,1,Lc
Lc1531,8,16,15,6,9,20,45,8,16,114,0.279146402,0.261459411,0.340843024,0.269756371,5,5,5,3,12.8407345,2.8211614,5.7943314,31.31899964,5.75,0.5,46,0,6,1,Lc
Lc1531,9,17,11,3,10,20,33,8,29,62,0.366168003,0.176787889,0.233480023,0.530848263,7,4,5,3,12.5277165,2.1521231,7.0044007,33.44344054,6,1,72,0,6,1,Lc
Lc1531,9,18,20,5,20,15,84,13,51,100,0.495534225,0.181653243,0.631209181,0.205427592,1,1,10,8,42.993459,3.2761874,33.8679372,20.99978774,4.25,0.5,34,0,6,1,Lc
Lc1531,10,19,17,6,10,11,69,9,32,41,0.144636844,0.12630722,0.344140897,0.343268372,10,6,4,6,10.3585925,1.9651124,11.5286594,14.77529214,6,1,72,0,6,1,Lc
Lc1531,10,20,12,20,15,9,17,144,57,16,0.399578411,0.322756392,0.536858291,0.49549435,7,5,8,5,7.1924114,46.7996768,31.1687827,9.157445942,6,1,72,0,6,1,Lc
Lc1531,11,21,19,18,6,11,63,53,17,34,0.431446552,0.370910104,0.681205628,0.237390898,7,6,5,5,27.6125793,20.3261626,12.7147273,8.838711742,6,1,72,0,6,1,Lc
Lc1531,11,22,18,1,14,11,38,0,20,17,0.360430872,2.6361507,0.6678001,0.451619697,9,9,1,4,14.5548325,2.8081606,15.7088985,8.909199142,5.5,0.5,44,0,6,1,Lc
Lc1531,12,23,14,9,3,15,35,30,2,64,0.301600583,0.356278442,0.592700567,0.268241582,5,5,6,3,10.857621,11.4966576,2.2001258,17.43570284,6,1,72,0,6,1,Lc
Lc1531,12,24,14,15,10,13,26,32,13,13,0.465137715,0.743133415,0.484742007,0.800117193,10,10,1,10,12.5587183,25.3194482,7.6124354,11.77498654,6,1,72,0,6,1,Lc
Lc1531,13,25,16,10,13,11,34,24,35,21,0.420766923,0.339459416,0.167426244,0.610638393,10,6,2,6,14.7268423,8.4864854,6.5363739,14.03207884,5.5,0.5,44,0,6,1,Lc
Lc1531,13,26,13,5,14,20,30,10,52,71,0.216883374,0.399931973,0.208691181,0.51139922,9,5,5,3,6.7853881,4.6962686,11.0606326,37.35077414,5.5,0.5,44,0,6,1,Lc
Lc1756,1,1,20,3,7,20,255,3,11,137,0.606956592,0.5577819,0.283349542,0.655434696,10,10,10,10,210.3510314,4.1972401,8.8915085,96.94435933,5.75,0.5,46,0,4,0,Lc
Lc1756,1,2,20,3,15,20,232,2,52,90,0.712160904,0.265015133,0.573372413,0.662113046,5,6,8,6,180.4143191,1.6370936,32.3388497,70.12185173,4.5,0.5,36,0,4,0,Lc
Lc1756,2,3,20,2,12,5,161,1,39,4,0.64547519,0.5225299,0.386472105,0.5332305,5,3,7,3,104.6609862,1.6380937,17.3159904,3.032986328,5.25,0.5,42,0,4,0,Lc
Lc1756,2,4,20,4,2,19,146,4,3,44,0.717612473,0.2184125,0.5577819,0.862228227,2,1,2,2,106.7041031,1.5600892,3.042174,39.90933353,2.25,0.5,18,0,4,0,Lc
Lc1756,3,5,17,4,1,17,87,3,0,79,0.946451862,0.16000915,0.9510544,0.370325548,9,5,2,9,83.5997817,1.2010687,1.872107,32.37020073,3.5,0,14,0,4,0,Lc
Lc1756,3,6,20,4,3,12,155,4,2,34,0.695110272,0.22761302,0.634703,0.636819107,10,6,6,6,108.9352308,1.7000972,2.4961428,22.34967233,6,1,72,0,4,0,Lc
Lc1756,4,7,14,7,4,16,82,7,3,58,0.662158355,0.086254937,0.31901825,0.445944917,7,3,3,3,54.9591435,0.6900395,1.276073,26.31075013,3,1,36,0,4,1,Lc
Lc1756,4,8,20,6,18,14,207,15,38,39,0.615073641,0.187198212,0.896794882,0.469940611,1,5,2,6,127.9353174,2.9951714,34.9750004,18.79762443,3.75,0,15,0,4,1,Lc
Lc1756,5,9,20,2,6,14,114,2,6,34,0.65710715,0.4160238,0.245156871,0.314235467,6,6,1,5,75.5673222,1.2480714,1.7160981,10.99824133,3.5,0.5,28,0,4,1,Lc
Lc1756,5,10,20,4,4,4,146,9,4,4,0.671228868,0.17320991,0.24641408,0.236737166,8,9,9,10,98.6706436,1.7320991,1.2320704,1.183685828,2,1,24,0,4,1,Lc
Lc1756,6,11,20,7,4,19,173,9,7,88,0.673762675,0.33071891,0.2535145,0.644583739,8,8,8,6,117.2347055,3.3071891,2.028116,57.36795273,3,0,12,0,4,1,Lc
Lc1756,6,12,19,12,8,6,99,31,8,12,0.641166673,0.368552328,0.521696511,0.092531794,7,1,7,1,64.1166673,11.7936745,4.6952686,1.202913328,3,1,36,0,4,1,Lc
Lc1756,7,13,20,6,9,12,128,5,18,19,0.749895605,0.717707717,0.367863153,0.192342781,4,4,10,2,97.3595686,5.07029,8.3154757,5.904973428,3,0,12,0,4,1,Lc
Lc1756,7,14,6,2,16,14,10,3,35,53,0.727587073,0.105256,1.050060058,0.206936208,9,5,1,7,9.0955203,1.0910624,39.0002307,13.04466223,4.25,0.5,34,0,4,1,Lc
Lc1756,8,15,20,1,3,6,132,0,3,7,0.758419319,0.2040117,0.116756675,0.29639195,7,7,4,1,101.5568087,0.87405,0.857049,2.931781128,2.75,0.5,22,0,4,1,Lc
Lc1756,8,16,15,6,2,6,78,6,1,12,0.905608761,0.213726514,0.3045174,0.734308948,8,3,2,8,72.4791456,2.1981257,1.2320704,10.10804853,2.25,0.5,18,0,4,1,Lc
Lc1756,9,17,20,4,18,14,117,5,46,38,0.773137441,0.093672033,0.533775213,0.596409055,7,10,10,9,91.9312581,1.4970857,25.6784687,24.83604323,4.25,0.5,34,0,4,1,Lc
Lc1756,9,18,7,8,3,18,17,11,2,46,0.772766428,1.680846142,0.275682433,0.844642573,4,5,6,2,15.0638616,21.0592045,1.4360822,40.38824033,2.75,0.5,22,0,4,1,Lc
Lc1756,10,19,17,1,15,6,51,0,23,6,0.762620542,0.5460313,0.705873704,1.059150533,3,3,5,4,39.6562682,1.0450598,17.6900118,7.897081328,5.5,0,22,0,4,1,Lc
Lc1756,10,20,10,3,2,11,14,4,1,17,0.592833907,0.12780732,0.31201785,0.547653174,2,2,8,8,9.126522,1.1700669,1.2630723,10.66780353,2.25,0.5,18,0,4,1,Lc
Lc1814,1,1,20,11,13,12,458,70,51,62,0.31506595,0.157783668,0.102871269,0.116832078,1,9,1,9,150.7586229,12.1216933,6.9263962,11.61600179,5.25,0,21,0,5,0,Lc
Lc1814,1,2,19,5,5,13,366,9,6,72,0.193444307,0.07640438,0.131293257,0.205706341,6,6,6,8,73.1651848,1.1700669,1.8271045,16.41164269,4.25,0.5,34,0,5,0,Lc
Lc1814,2,3,20,3,8,17,152,4,10,133,0.321070652,0.28381622,0.287925555,0.231996002,9,2,5,1,50.5288901,1.6220928,3.5722043,32.35153659,4,0,16,0,5,0,Lc
Lc1814,2,4,20,5,7,18,151,7,7,81,0.321110472,0.31401795,0.171634825,0.313612305,8,7,8,8,50.9349133,2.7611579,2.1371223,26.66826319,3.5,0.5,28,0,5,0,Lc
Lc1814,3,5,20,4,4,20,102,3,6,90,0.526777704,0.206761825,0.198297057,0.340919504,7,3,8,8,54.5371194,0.9680554,2.028116,32.56776349,2,1,24,0,5,0,Lc
Lc1814,3,6,20,1,8,18,151,0,22,50,0.372356824,1.294074,0.55077063,0.304769221,1,10,6,2,58.7503603,2.028116,13.5557754,17.19732489,6,1,72,0,5,0,Lc
Lc1814,4,7,20,9,7,12,71,14,12,39,0.489444661,0.40355642,0.245937138,0.250949562,7,10,10,3,35.2400156,6.0533463,4.1652382,10.17799049,3.25,0.5,26,0,5,0,Lc
Lc1814,4,8,18,4,5,6,63,6,8,13,0.472183258,0.097862743,0.327463167,0.728207435,9,4,5,5,30.4827435,1.1230643,3.3691927,11.86299959,3.75,0.5,30,0,5,0,Lc
Lc1814,5,9,20,11,5,19,47,16,9,64,0.53819745,0.205599994,0.19661124,0.39599188,7,1,7,4,26.1144937,3.6042061,2.5271445,26.60479089,2.75,0.5,22,0,5,1,Lc
Lc1814,5,10,13,3,12,10,46,2,43,25,0.473303666,0.577033,0.36022515,0.502182569,6,6,2,2,22.2452723,1.7941027,16.3639359,14.08481849,3.5,0.5,28,0,5,1,Lc
Lc1814,6,11,7,3,19,20,20,2,53,60,0.277825414,0.296350267,0.454137085,0.58104079,2,2,2,5,5.8343337,1.2630722,25.2724455,36.85956909,2.75,0.5,22,0,5,1,Lc
Lc1814,6,12,20,6,16,12,117,8,24,23,0.409430198,0.183677167,0.985936392,0.349495879,10,7,10,1,48.5447766,2.0741186,25.210442,9.121942986,6,1,72,0,5,1,Lc
Lc1814,7,13,20,17,5,5,142,33,4,5,0.391938501,0.504705338,0.38702214,0.339410931,4,2,4,4,56.0472057,17.1599815,1.9351107,2.036465586,2.25,0.5,18,0,5,1,Lc
Lc1814,7,14,13,5,8,5,30,6,11,6,0.620487103,0.2294417,0.90480175,0.366763655,10,8,8,10,19.2351002,1.6060919,10.857621,2.567345586,6,1,72,0,5,1,Lc
Lc1814,8,15,13,3,5,20,30,4,6,128,0.535933877,0.19341106,0.5148866,0.655267852,10,10,10,9,16.6139502,0.9670553,3.6042062,84.52955289,5.25,0.5,42,0,5,1,Lc
Lc1814,8,16,19,3,7,15,84,2,12,31,0.474980108,0.3066842,0.762043592,0.583426812,6,2,6,1,40.3733092,0.9200526,9.9065667,18.66965799,4.25,0.5,34,0,5,1,Lc
Lc1814,9,17,20,2,19,9,69,1,42,27,0.706683277,0.2185125,0.551450144,0.255343296,1,10,1,1,49.4988312,0.9680554,24.3043901,7.149612286,4.25,0,17,0,5,1,Lc
Lc1814,9,18,17,5,10,9,43,5,14,10,0.422274152,0.13267425,0.888117467,0.661374481,4,5,4,6,18.6890689,1.7320991,13.5867771,7.322121986,5.5,0.5,44,0,5,1,Lc
Lc1814,10,19,19,4,9,10,43,8,18,9,0.653423739,0.587589167,0.6494582,0.345533099,2,8,10,2,28.7506445,5.6953257,12.9157387,3.455330986,5.5,0.5,44,0,5,1,Lc
Lc1814,10,20,20,4,2,12,59,3,1,17,0.535613968,0.48352765,0.5380308,0.61943866,4,7,3,4,32.1368381,2.028116,1.0760616,11.14989589,3,1,36,0,5,1,Lc
Lc1814,11,21,20,9,18,6,86,14,49,13,0.395746774,0.573032773,0.345079738,0.65949677,10,10,7,7,34.4299693,8.5954916,17.2539869,9.232954786,5.5,0.5,44,0,5,1,Lc
Lc1814,11,22,20,4,15,3,78,4,41,3,0.336690144,0.2028116,0.49064711,0.866115172,5,5,2,4,26.5985214,1.014058,20.6071786,3.464460686,5.75,0.5,46,0,5,1,Lc
Lc1814,12,23,9,8,4,8,12,8,3,19,0.368405685,0.740153444,0.76829395,0.484028329,10,8,10,10,4.7892739,6.661381,3.0731758,9.680566586,6,1,72,0,5,1,Lc
Lc1814,12,24,14,3,19,6,21,3,69,5,0.285061759,0.308017625,0.450625774,0.664269898,5,2,5,5,6.2713587,1.2320705,31.5438042,3.985619386,6,1,72,0,5,1,Lc
Lc1983,1,1,20,3,18,10,71,2,36,24,0.903523904,0.374021367,0.958703484,0.515956109,7,6,7,7,86.1129254,2.0591177,36.6760978,13.92996172,3,1,36,0,6,0,Lc
Lc1983,1,2,19,4,7,4,87,7,15,4,0.728178012,0.317768175,0.949616819,0.46462658,4,1,2,2,66.6428118,3.0411739,15.2568727,3.021996822,2.5,0,10,0,6,0,Lc
Lc1983,2,3,13,4,10,16,84,4,28,39,0.301370179,0.28401622,0.668658934,0.51475444,8,9,8,3,26.4425124,1.9661124,19.6561243,21.42293372,2.75,0.5,22,0,6,0,Lc
Lc1983,2,4,19,7,11,15,112,11,24,43,0.527224845,0.5083624,0.476747272,0.450275757,1,10,2,4,60.7154727,6.6303792,12.3547067,20.63394212,5.75,0.5,46,0,6,0,Lc
Lc1983,3,5,18,5,8,5,161,4,20,6,0.334210475,0.11220642,0.562270257,0.359414403,6,2,5,6,54.617124,1.4030802,13.0567468,3.155937422,4.5,0.5,36,0,6,0,Lc
Lc1983,3,6,16,2,5,2,95,3,5,1,0.465609965,0.70204015,0.1583424,1.338640011,10,1,7,10,45.6306099,3.479199,1.5600893,3.269313822,2,1,24,0,6,0,Lc
Lc1983,4,7,20,6,15,7,79,9,42,17,0.684651659,0.2761158,0.30734316,0.414045629,5,8,6,8,59.4203986,3.2601865,14.4618272,8.154861422,4.25,0,17,0,6,0,Lc
Lc1983,4,8,18,3,11,19,106,18,75,47,0.42820206,0.182326216,0.337256133,0.420639559,4,10,3,4,46.7996767,4.5712615,25.771474,21.12675232,6,1,72,0,6,0,Lc
Lc1983,5,9,13,5,15,12,34,6,27,21,0.551745843,0.0757186,1.217855375,0.767225695,9,9,10,10,19.3421063,1.3420767,34.6319809,17.55370762,4.75,0,19,0,6,0,Lc
Lc1983,5,10,20,3,12,11,93,2,25,26,0.541616084,0.213345533,0.705578819,0.636126834,3,3,3,8,51.5579489,1.3260758,18.9850859,17.81446112,4.25,0.5,34,0,6,0,Lc
Lc1983,6,11,20,11,7,16,106,27,14,69,0.608399285,0.310339179,0.907985267,0.338871296,1,10,4,4,65.1617271,9.8135613,14.2578155,24.42303092,4.25,0.5,34,0,6,1,Lc
Lc1983,6,12,20,5,4,12,92,6,10,46,0.68489939,0.287159286,0.631127009,0.603428949,5,2,6,3,64.0846655,2.5891481,7.4264247,29.93425082,5.75,0.5,46,0,6,1,Lc
Lc1983,7,13,19,6,11,7,166,9,20,20,0.480895769,0.1294074,0.475027171,0.47673322,7,9,5,4,80.3095934,1.8561062,10.5996063,10.92544982,3.5,0.5,28,0,6,1,Lc
Lc1983,7,14,20,4,6,12,82,4,5,21,0.675315735,0.45542604,0.6863726,0.470000346,6,6,10,8,56.051206,3.0101721,4.7272704,10.40201122,4.25,0.5,34,0,6,1,Lc
Lc1983,8,15,15,4,3,10,72,3,2,26,0.370980122,0.5382808,0.447025567,0.601553412,2,5,5,9,27.0815489,2.1531232,1.4660838,17.81703222,3.25,0.5,26,0,6,1,Lc
Lc1983,8,16,20,9,19,4,88,13,89,3,0.63540713,0.352163007,0.414090352,0.40743758,10,1,6,6,57.9543148,6.2863596,38.1121799,2.299788622,4,0,16,0,6,1,Lc
Lc1983,9,17,20,8,2,13,139,22,4,28,0.519372564,0.215664509,0.30581748,0.361338115,3,10,10,3,72.7431606,5.8343337,2.5271446,10.80682412,3,0.5,24,0,6,1,Lc
Lc1983,9,18,20,7,19,7,147,8,52,16,0.47739217,0.612035022,0.732947583,0.143723078,9,5,5,5,71.3540812,7.3324194,39.6102656,3.114330722,4.25,0.5,34,0,6,1,Lc
Lc1983,10,19,20,3,15,9,329,4,49,52,0.23182235,0.0842048,0.258654796,0.216458425,1,1,1,1,76.6733854,1.4350821,13.618779,12.15833582,4.25,0.5,34,0,6,1,Lc
Lc1983,10,20,18,2,14,14,74,2,83,35,0.573672812,0.265348533,0.208357156,0.381299617,3,9,5,3,43.2274725,1.4350821,18.3920519,14.16281122,5.25,0.5,42,0,6,1,Lc
Lc1983,11,21,18,11,13,5,116,20,38,11,0.580409266,0.765091381,0.678013138,0.859666402,4,4,4,5,67.9078841,16.660953,26.7075276,10.31599682,5,0,20,0,6,1,Lc
Lc1983,11,22,17,3,11,7,74,3,20,11,0.649597156,0.191510925,0.696182681,0.534288527,8,10,7,10,49.670841,1.3260758,15.4598843,6.411462322,2.75,0.5,22,0,6,1,Lc
Lc1983,12,23,12,20,6,20,49,73,6,94,0.582833336,0.489730715,0.176010071,0.524792274,4,4,7,10,29.1416668,37.6261521,1.9661124,49.85526602,5,0.5,40,0,6,1,Lc
Lc1983,12,24,12,5,4,12,34,6,5,89,0.588805106,0.447882771,0.215679,0.360318585,8,5,8,5,21.1232082,4.1022346,2.3241329,32.45967442,3.5,0.5,28,0,6,1,Lc
LH1255,1,1,20,7,5,19,296,11,5,127,0.393423176,0.356270375,0.548364683,0.275070423,3,10,3,3,141.930118,6.4263676,4.19724,46.74784809,5.25,0.5,42,0,5,0,LH
LH1255,1,2,20,1,2,20,156,0,2,76,0.402118541,1.3730785,0.275682433,0.538511322,2,1,1,1,68.6399259,2.3721357,1.4970857,42.79050909,4.25,0,17,0,5,0,LH
LH1255,2,3,20,3,4,19,273,2,11,110,0.24510161,0.587700267,0.094838758,0.242004833,5,4,4,6,68.2519038,2.3221328,1.9651124,28.79706249,4.5,0,18,0,5,0,LH
LH1255,2,4,20,3,11,19,261,3,35,61,0.373563351,0.351020075,0.237874717,0.339079119,9,10,8,1,99.0136633,2.1371222,9.1885255,21.55393569,4.25,0.5,34,0,5,0,LH
