"","ID","round","phase","OB_1","OB_2","OB_3","OB_4","AS_1","AS_2","AS_3","AS_4","dwmean_1","dwmean_2","dwmean_3","dwmean_4","schemas_1","schemas_2","schemas_3","schemas_4","RT_1","RT_2","RT_3","RT_4","payoff","accuracy","performance","novelty","breakR","afterbreak","type"
"34","H1307",1,2,15,2,10,8,22,1,10,10,0.320173913,0.5225,0.324727273,0.256814875,5,5,5,5,9.126,1.576,5.881,3.86996363,5,1,60,0,8,0,"H"
"35","H1307",2,3,16,4,15,5,32,4,25,7,0.206030303,0.159,0.144615385,0.46225,8,8,10,10,7.394,1.529,4.134,5.33796363,2.5,0,10,0,8,0,"H"
"36","H1307",2,4,20,3,15,11,53,2,24,21,0.22387037,0.254666667,0.24636,0.250771074,4,4,4,2,14.851,0.889,8.127,11.61696363,2.5,0.5,10,0,8,0,"H"
"37","H1307",3,5,13,10,2,18,21,10,1,24,0.216954545,0.221090909,0.382,0.243918545,8,5,5,5,19.127,4.07,2.028,7.09596363,4.25,0.5,17,0,8,0,"H"
"38","H1307",3,6,18,7,15,9,38,9,20,16,0.218410256,0.1934,0.299619048,0.321233155,7,2,2,3,9.157,2.527,7.105,9.03196363,4.75,0,19,0,8,0,"H"
"39","H1307",4,7,7,12,12,6,8,22,17,7,0.282666667,0.295130435,0.316222222,0.412620454,5,5,10,7,2.871,7.396,6.956,4.28396363,4.75,0,19,0,8,0,"H"
"40","H1307",4,8,13,11,8,17,27,10,8,29,0.210607143,0.323545455,0.201,0.286265454,6,1,3,2,6.661,5.165,2.261,10.69496363,4.5,0,18,0,8,0,"H"
"41","H1307",5,9,17,20,19,20,25,100,24,75,0.198576923,0.216861386,0.28516,0.353039474,10,10,10,6,6.427,38.376,8.003,29.86896363,3.75,0.5,15,0,8,0,"H"
"42","H1307",5,10,16,2,2,20,41,1,1,59,0.1445,0.234,0.4445,0.257633333,4,4,4,2,8.737,0.468,1.95,17.08996363,2.5,0.5,10,0,8,0,"H"
"43","H1307",6,11,20,15,5,11,93,33,6,15,0.196819149,0.190794118,0.220714286,0.342372727,7,7,2,5,19.157,7.347,2.777,8.25496363,5.25,0,21,0,8,0,"H"
"44","H1307",6,12,16,2,4,3,40,1,3,2,0.244243902,0.2495,0.19125,0.23332121,4,4,4,4,11.029,0.936,1.794,1.13696363,2,1,24,0,8,0,"H"
"45","H1307",7,13,18,3,2,2,45,2,1,1,0.175695652,0.203,0.148,0.184481815,4,4,4,4,8.487,1.17,1.232,0.36896363,2,1,24,0,8,0,"H"
"46","H1307",7,14,20,5,4,3,52,6,3,3,0.258169811,0.158285714,0.24575,0.359740908,8,8,1,1,14.321,1.529,1.747,2.28096363,2.5,0,10,0,8,0,"H"
"47","H1307",8,15,19,1,15,12,64,0,21,21,0.209246154,0.517,0.246818182,0.265543801,7,7,7,2,14.757,1.703,8.25,6.48096363,5.5,0.5,22,1,8,1,"H"
"48","H1307",8,16,15,6,8,12,39,11,9,29,0.22465,0.081916667,0.3604,0.248566667,11,11,11,3,9.952,2.606,4.368,8.75496363,4.25,0.5,17,1,8,1,"H"
"49","H1307",9,17,6,11,6,5,7,29,14,6,0.317875,0.1821,0.195533333,0.314142857,7,14,14,14,2.902,10.187,4.524,5.57796363,3.75,0.5,15,1,8,1,"H"
"50","H1307",9,18,12,6,9,9,23,7,18,24,0.389958333,0.245375,0.330842105,0.224398545,8,11,11,11,11.885,6.896,9.156,9.13496363,3.5,0.5,14,1,8,1,"H"
"51","H1307",10,20,12,2,12,18,28,1,17,37,0.229689655,0.468,0.432388889,0.200367464,12,12,7,7,12.2,2.121,10.467,10.49996363,5.5,0,22,1,8,1,"H"
"52","H1307",11,21,10,8,5,12,23,11,9,48,0.308166667,0.251,0.2698,0.223122449,14,3,2,3,11.356,4.696,3.932,22.30296363,4.25,0,17,1,8,1,"H"
"53","H1307",11,22,17,9,17,17,42,11,43,42,0.203883721,0.258666667,0.232590909,0.305836363,1,11,8,11,11.029,4.103,13.65,14.77396363,3.25,0,13,1,8,1,"H"
"54","H1307",12,23,11,1,3,7,58,0,4,11,0.242271186,0.078,0.134,0.148580303,3,15,2,14,18.72,2.168,1.827,2.74996363,4.5,0,18,1,8,1,"H"
"55","H1307",12,24,8,4,14,18,21,6,45,35,0.214818182,0.153857143,0.221195652,0.197194444,8,12,12,12,5.303,1.966,13.775,9.20496363,4.25,0.5,17,1,8,1,"H"
"56","H1318",1,1,20,1,2,2,103,0,1,1,0.225663462,0.53,0.265,0.3355,4,4,4,4,28.485,0.53,0.53,0.796832859,2,1,24,0,8,0,"H"
"57","H1318",1,2,20,3,2,4,100,2,1,5,0.253138614,0.333,0.5385,0.473305476,1,1,9,8,27.05,0.999,2.34,3.697832859,3,0,12,0,8,0,"H"
"58","H1318",2,3,17,5,2,2,62,5,1,1,0.14731746,0.109166667,0.3275,0.183916429,4,2,4,4,11.168,1.232,1.233,0.898832859,2.5,0.5,10,0,8,0,"H"
"59","H1318",2,4,16,6,4,11,37,5,3,16,0.206078947,0.065,0.10525,0.293637227,1,8,7,5,8.19,1.06,0.999,5.568832859,4,0,16,0,8,0,"H"
"60","H1318",3,5,20,3,1,1,112,3,0,0,0.190911504,0.12075,0.5,0.39,1,1,1,1,23.884,1.076,0.5,0.502832859,3,1,36,0,8,0,"H"
"61","H1318",3,6,20,5,2,8,131,5,2,11,0.214492424,0.093666667,0.192333333,0.245652738,9,4,4,6,29.11,1.233,1.029,3.836832859,3.5,0,14,0,8,0,"H"
"62","H1318",4,7,20,2,1,1,52,1,0,0,0.243962264,0.1325,0.375,0.171,2,3,2,2,13.494,0.733,0.968,0.532832859,4.25,0.5,17,0,8,0,"H"
"63","H1318",4,8,17,10,8,18,57,17,9,42,0.200689655,0.194166667,0.2106,0.274437973,8,8,8,8,13.058,4.337,2.636,12.06683286,2,1,24,0,8,0,"H"
"64","H1318",5,9,19,5,1,2,63,5,0,1,0.234703125,0.112,0.375,0.203416429,2,2,2,2,15.084,1.264,0.812,0.936832859,4,1,48,0,8,0,"H"
"65","H1318",5,10,19,3,1,5,58,2,0,4,0.195135593,0.109333333,0.527,0.1776,9,4,9,5,13.29,1.144,1.025,1.419832859,3.75,0,15,0,8,0,"H"
"66","H1318",6,11,19,3,6,16,88,3,8,36,0.209820225,0.152,0.279222222,0.257216216,5,7,4,7,23.681,1.295,3.401,10.20783286,4.75,0,19,0,8,0,"H"
"67","H1318",6,12,16,2,1,12,49,1,0,30,0.1919,0.781,0.5,0.291354839,10,6,9,6,11.559,2.23,1.202,11.06083286,4.75,0,19,0,8,0,"H"
"68","H1318",7,13,20,6,7,11,111,9,24,27,0.229410714,0.1357,0.18588,0.221815459,6,6,3,4,29.156,1.952,5.162,6.663832859,4.75,0,19,0,8,0,"H"
"69","H1318",7,14,20,11,3,18,88,14,4,52,0.228932584,0.179733333,0.2936,0.195808167,2,2,2,7,23.415,3.463,1.591,10.79883286,4.5,0.5,18,0,8,0,"H"
"70","H1318",8,15,16,11,2,13,107,21,1,46,0.271212963,0.245363636,0.2185,0.222702128,8,1,1,3,37.737,7.94,1.233,12.23883286,3.25,0,13,1,8,1,"H"
"71","H1318",8,16,17,3,4,2,127,2,4,1,0.209617188,0.114333333,0.206,0.195,11,11,11,12,32.885,1.263,1.498,0.619832859,4.25,0.5,17,1,8,1,"H"
"72","H1318",9,17,19,4,2,1,52,3,1,0,0.203113208,0.133,0.179,0.312,15,14,14,14,12.402,1.468,0.623,0.902832859,3.75,0.5,15,1,8,1,"H"
"73","H1318",9,18,20,3,3,9,59,2,4,9,0.220216667,0.312,0.2246,0.233783286,1,13,12,1,13.322,1.545,1.123,2.337832859,3.25,0,13,1,8,1,"H"
"74","H1318",10,19,20,7,4,12,76,19,4,18,0.273493506,0.09745,0.6456,0.302210526,11,15,3,15,24.243,2.496,3.728,6.677832859,5.25,0,21,1,8,1,"H"
"75","H1318",10,20,20,8,15,8,84,11,22,15,0.258776471,0.200166667,0.143782609,0.104302054,7,7,7,2,23.073,3.494,3.962,2.372832859,5.5,0.5,22,1,8,1,"H"
"76","H1318",11,21,20,4,5,19,79,4,7,58,0.2182125,0.0936,0.259375,0.22794632,1,12,12,12,18.065,1.264,2.387,13.71383286,4.5,0.5,18,1,8,1,"H"
"77","H1318",11,22,19,2,7,14,124,1,7,33,0.194168,0.304,0.32175,0.215789202,3,13,3,3,25.912,1.903,3.105,8.318832859,4.25,0.5,17,1,8,1,"H"
"78","H1318",13,25,19,7,3,6,92,8,2,5,0.18483871,0.084777778,0.254666667,0.671305476,8,1,7,2,18.018,1.201,1.638,4.495832859,3.75,0,15,1,8,1,"H"
"79","H1318",14,27,16,8,10,12,69,14,19,18,0.167585714,0.135266667,0.08185,0.162359624,12,2,13,12,12.215,2.605,2.231,3.972832859,4,0,16,1,8,1,"H"
"80","H1318",15,29,15,2,5,2,25,1,4,3,0.181769231,0.1405,0.1216,0.1015,3,1,3,3,5.694,0.577,0.967,0.637832859,4.5,0.5,18,1,8,1,"H"
"81","H1318",15,30,19,4,6,5,102,3,5,5,0.18615534,0.277,0.1325,0.085972143,14,8,14,11,19.595,1.466,1.03,1.107832859,3,0,12,1,8,1,"H"
"82","H1318",16,31,20,8,19,8,70,11,140,12,0.257056338,0.269,0.20477305,0.277448681,13,15,12,12,19.282,4.025,29.577,4.121832859,4.5,0,18,1,8,1,"H"
"83","H1318",16,32,20,4,2,8,102,3,1,9,0.20676699,0.164,0.32,0.117,11,7,3,7,23.774,1.109,1.138,1.954832859,5.25,0,21,1,8,1,"H"
