Gene,logFC,FDR
1700006E09Rik,0,1
1700007B14Rik,0,1
1700007E06Rik,0,1
1700007G11Rik,-0.844373714,0.441323
1700007I08Rik,0.094253337,1
1700007K09Rik,-0.251617947,1
1700007K13Rik,-0.875260969,0.128986
1700008A04Rik,0,1
1700008F21Rik,0.44523089,1
1700008I05Rik,-0.193880217,1
1700008J07Rik,-0.089406026,0.986013
1700008O03Rik,-0.225675033,0.865406
1700008P02Rik,0,1
1700008P20Rik,-0.216229477,1
1700009J07Rik,-0.714244823,1
1700009N14Rik,0,1
1700009P17Rik,-0.85980257,0.105948
1700010B08Rik,0,1
1700010D01Rik,0,1
1700010H22Rik,-0.758732979,1
1700010I14Rik,0.747744586,0.264785
1700010M22Rik,0,1
1700011A15Rik,1.141960245,1
1700011E24Rik,0,1
1700011F03Rik,0,1
1700011F14Rik,0,1
1700011H14Rik,4.954903079,0.397028
1700011I03Rik,-0.333221737,1
1700011L22Rik,-0.588014758,1
1700011M02Rik,0,1
1700012A03Rik,0,1
1700012A16Rik,-0.618225797,1
1700012B07Rik,1.530717526,1
1700012B09Rik,-2.670046835,0.0264399
1700012B15Rik,-0.234693854,0.85994
1700012D14Rik,0.043878648,1
1700012L04Rik,0.966991488,1
1700012P22Rik,0,1
1700013B16Rik,0.160647099,1
1700013D24Rik,0,1
1700013F07Rik,-1.282309327,0.137995
1700013G24Rik,0,1
1700013H16Rik,-0.934114869,1
1700014N06Rik,0,1
1700015E13Rik,0.307932473,1
1700015F17Rik,-1.3441297,1
1700015G11Rik,0,1
1700016C15Rik,2.857393529,0.0365425
1700016D06Rik,-0.37292536,1
1700016H13Rik,0.550361647,0.563538
1700016K19Rik,-1.150314248,0.0741749
1700016M24Rik,3.165058125,1
1700017B05Rik,0.754475294,0.0106618
1700017D01Rik,0,1
1700017N19Rik,0,1
1700018A04Rik,-1.596286608,0.443187
1700018A14Rik,-1.355721084,1
1700018B08Rik,0,1
1700018B24Rik,0,1
1700018C11Rik,-0.270376851,1
1700018F24Rik,-0.269754,1
1700018L02Rik,1.026573599,0.812461
1700018L24Rik,-0.859848722,1
1700019A02Rik,-0.619777336,1
1700019B03Rik,0.150239014,1
1700019D03Rik,-0.739123577,0.682918
1700019E19Rik,-0.618183244,0.179665
1700019G17Rik,-0.443461498,0.444542
1700019L03Rik,-1.07065774,0.437746
1700019M22Rik,0,1
1700019N12Rik,3.158993506,0.0720131
1700019N19Rik,-1.207730461,1
1700019O17Rik,-0.596208127,1
1700020A23Rik,-1.392516908,1
1700020C07Rik,-0.444159388,1
1700020D05Rik,-0.856316603,0.73618
1700020I14Rik,-0.206082932,0.560007
1700020L24Rik,-0.995196871,0.0854337
1700020N01Rik,1.842042483,1
1700020N18Rik,-0.845502018,0.538406
1700020O03Rik,-1.067274143,0.0477374
1700021C14Rik,-0.744273318,0.749367
1700021F05Rik,0.168117526,0.778527
1700021F07Rik,0,1
1700021K19Rik,-0.110576483,0.779021
1700022A21Rik,0,1
1700022I11Rik,-0.178450774,1
1700022P22Rik,-0.551692724,1
1700023A16Rik,-0.847859844,1
1700023D19Rik,0,1
1700023E05Rik,-1.30706533,1
1700023F06Rik,0.492797634,1
1700023I07Rik,0,1
1700024G13Rik,-1.689508067,0.0651812
1700024P04Rik,1.703277924,1
1700024P16Rik,3.128486736,0.000670633
1700025C18Rik,0,1
1700025E21Rik,0.084643199,1
1700025F22Rik,0.779350503,1
1700025G04Rik,0.074049083,0.85709
1700025K23Rik,-1.107385706,0.155712
1700026D08Rik,-1.797738819,0.0123146
1700026D11Rik,0,1
1700026J04Rik,-0.234264147,1
1700026L06Rik,-0.986351358,0.171722
1700027A23Rik,-1.100736845,0.0928902
1700027D21Rik,0.307845238,1
1700028B04Rik,0,1
1700028J19Rik,0.211219181,1
1700028K03Rik,0.588754686,1
1700028M03Rik,0,1
1700028P14Rik,-1.628181647,0.0589299
1700029F09Rik,0.589119808,0.257686
1700029F12Rik,0,1
1700029G01Rik,-0.521026327,0.241218
1700029H14Rik,0,1
