Gene,FDR,FC
C2,0.014454907,0.29257291
C230072F16Rik,0.00434303,0.150314581
C230072F16Rik,0.001347121,0.239825941
C230081A13Rik,0.001776766,0.207580372
C230085N15Rik,0.0027656,0.072809807
C4bp,0.000630838,8.170090502
C6,0.004238128,0.087460386
C7,0.003632389,0.086800679
C77080,0.00520369,2.740753457
C77370,0.00412669,5.009645941
C79407,0.168383177,2.23665182
C85492,0.021171472,0.659609408
Cabp5,0.00019949,0.410080906
Cacna1d,0.005991763,0.351778407
Cacna2d1,1.54E-05,0.225799838
Cacna2d1,0.001253618,0.260617736
Cacnb1,0.007146986,0.417867169
Cacnb2,0.006684434,0.402923227
Cadm4,0.001146753,8.904759751
Cadps2,0.00729601,0.211433756
Cadps2,0.004358296,0.216106296
Calca,0.418458217,0.441188919
Calcoco1,0.000410957,0.391052283
Calcr,0.001811415,0.151882173
Calcrl,0.002470242,0.096040626
Calhm2,0.011453812,0.3033198
Calm1,0.001378255,0.357973723
Calm1,0.001008261,0.450173807
Calm2,0.000618827,0.362111139
Calm2,0.000193236,0.381298641
Calml3,0.000247521,459.4338827
Calml3,7.92E-06,127.3582705
Calml4,0.000893509,0.238677639
Camk1,0.001225596,0.41965697
Camk1,0.004716042,0.445242821
Camk1,0.005721149,0.450003709
Cap2,0.031805013,2.154190197
Capg,0.001336694,3.36721277
Capn2,0.000100074,0.369506516
Capn3,0.00614322,3.231224811
Capn5,0.008861881,3.992000964
Capn5,0.00733152,3.038629737
Car11,0.122735942,0.541812258
Car12,0.000135173,165.155523
Car13,5.24E-05,20.79298455
Car4,0.000855604,0.032105886
Car4,1.41E-05,0.225657743
Car5b,9.32E-05,2.642326858
Car6,0.004617589,2.012462469
Car8,8.65E-05,0.243066067
Car9,0.003279313,22.33705955
Card11,0.008679191,0.126314972
Carhsp1,0.003792716,2.524516143
Carns1,2.14E-05,0.395562128
Casc1,0.000323187,0.158469745
Casc4,0.000972089,0.417111182
Caskin2,0.002310969,0.210272481
Cast,0.000156367,2.521709843
Casz1,0.002002696,0.442462464
Casz1,0.003060215,0.444919223
Casz1,0.000745055,0.458219612
Casz1,0.003696647,0.604224917
Cat,0.000151799,0.327542237
Cat,6.35E-06,0.372253175
Cav1,4.47E-05,0.142776556
Cav2,0.000121859,0.284459928
Cav2,0.000129396,0.286731558
Cav2,0.000397445,0.289109729
Cav2,0.000277811,0.290136083
Cav2,0.000124301,0.290177963
Cav2,9.79E-05,0.29100287
Cav2,0.000282542,0.291614375
Cav2,0.000143291,0.294215186
Cav2,0.000229674,0.29622415
Cav2,7.12E-05,0.307258875
Cav2,0.001249523,0.365544504
Cav2,0.001993236,0.387211925
Cbfa2t3,0.000649903,0.064658578
Cbfa2t3,0.002220906,0.218913423
Cblc,6.34E-05,8.188483884
Cblc,1.81E-06,6.759422833
Cbr4,0.001685021,2.062364786
Cbs,0.002485153,11.9068335
Cc2d2a,0.004081762,0.477849441
Ccbe1,0.001277967,0.189274877
Ccbe1,0.076862319,0.51386196
Ccbp2,0.0037115,0.147822474
Ccbp2,0.008132361,0.288514005
Ccdc102a,9.83E-05,0.31653608
Ccdc108,0.003323713,0.123649099
Ccdc109a,0.000110485,2.795368038
Ccdc109b,0.002221984,6.075450841
Ccdc11,0.011351234,0.342001088
Ccdc116,0.00332955,3.936612295
Ccdc13,0.003670967,0.138740244
Ccdc135,0.004856096,0.319022505
Ccdc136,0.020583055,3.871351579
Ccdc138,0.010550716,0.508674698
Ccdc146,0.002750502,0.293950324
Ccdc146,0.013636056,0.511622539
Ccdc147,0.008004663,0.176530886
Ccdc150,0.038517055,0.304365177
Ccdc151,0.007854443,0.176946541
Ccdc153,0.006892815,0.08861255
Ccdc155,0.007449875,0.371431906
Ccdc157,0.003477677,0.501519293
Ccdc164,0.004387563,0.108246839
Ccdc17,0.000293829,0.35416784
Ccdc19,0.006607785,0.306104045
Ccdc24,0.098266143,0.637839099
Ccdc25,0.004170916,2.110985978
Ccdc30,0.005142995,0.21369998
Ccdc30,0.01634422,0.38667501
Ccdc37,0.00584754,0.146733244
Ccdc40,0.004200939,0.152033937
Ccdc42,0.000541628,0.324438024
Ccdc46,0.002440695,0.358699994
Ccdc48,0.000414733,0.206097787
Ccdc48,0.010692354,0.385341564
Ccdc51,0.004557006,2.303218203
Ccdc64b,3.39E-06,5.499798599
Ccdc65,0.002529496,0.170757776
Ccdc78,0.007630639,0.142179473
Ccdc81,0.002889187,0.136109029
Ccdc82,0.000513473,0.38734724
Ccdc85a,0.000821017,0.064067313
Ccdc85a,0.000238693,0.068742667
Ccdc85a,0.004672409,0.075442227
Ccdc88b,0.002600275,2.932374927
Ccdc88b,0.002584144,2.642125695
Ccdc92,0.000116998,0.366016597
Ccdc93,0.011788944,2.010341586
Ccdc93,0.010271758,2.00419513
Ccdc93,0.015193183,1.99524408
Ccdc93,0.013630594,1.966386047
Ccdc93,0.022883425,1.90648302
Ccdc93,0.040486404,1.894618426
Ccdc93,0.014912269,1.842692499
Ccdc93,0.018969557,1.813986858
Ccdc93,0.035384161,1.801096168
Ccdc93,0.046429069,1.745103246
Ccdc99,0.404930388,1.465017929
Cck,0.079032825,2.677798078
Cckar,0.00619567,0.225242539
Ccl12,0.008818629,4.120969
Ccl19,0.000389807,0.184414754
Ccl19,0.003771407,0.440839089
Ccl2,0.001441317,6.833292422
Ccl2,0.001627458,6.536108664
Ccl2,0.003373749,6.445502749
Ccl2,0.001550284,6.408333616
Ccl2,0.00229827,6.149170639
Ccl2,0.003055271,6.097679607
Ccl2,0.001578608,5.943210124
Ccl2,0.004157212,5.902420967
Ccl2,0.004113385,5.848422951
Ccl2,0.001476586,5.393783341
Ccl25,0.001222193,0.365847213
Ccl27a,0.109100826,0.206233387
Ccl27a,0.105849811,0.219940187
Ccl3,0.031716123,4.966442191
Ccl8,0.006133812,4.913717064
Ccna2,0.055375311,3.649531337
Ccnb1,0.018735538,4.972080922
Ccnb1,0.066648052,3.771827385
Ccnb1,0.032222958,3.524457213
Ccnb2,0.111169884,2.523932837
Ccnd3,0.002912617,0.499203621
Ccne1,0.093557875,3.19763222
Ccnf,0.039861386,3.813794977
Ccno,0.008822557,0.347773165
Ccnyl1,0.02367815,1.848341005
Ccr6,0.005099752,0.194846038
Ccr7,0.001731741,0.094185801
Ccrl1,0.00120743,0.07529841
Ccrl1,0.011352859,0.18692188
Cd109,0.001668512,12.06393342
Cd14,0.007115704,2.465372205
Cd164l2,0.001545017,2.130432978
Cd164l2,0.020249864,1.968768053
Cd2,0.000574723,0.060949767
Cd2,0.000702354,0.081549885
Cd2,0.001081807,0.082274474
Cd2,0.004085969,0.089372724
Cd2,0.00072202,0.092562979
Cd2,0.000158021,0.093019977
Cd2,0.000190599,0.094776356
Cd2,0.00115619,0.094897125
Cd2,0.000709884,0.112153101
Cd2,2.01E-06,0.117463937
Cd2,1.09E-06,0.132903629
Cd207,0.000830989,0.113804261
Cd209b,0.046948076,0.505927373
Cd209f,0.000886294,0.123494896
Cd226,0.000896284,0.215508946
Cd247,0.00455062,0.234264088
Cd24a,0.006293395,2.265219812
Cd27,0.00493668,0.266770457
Cd276,0.008934422,3.100229402
Cd28,0.001210055,0.182341683
Cd300e,0.003167203,0.098912111
Cd34,0.006333694,0.365646681
Cd36,0.000897883,0.156244533
Cd3d,0.002370953,0.147617694
Cd3g,0.004270276,0.193648928
Cd40,0.003020275,0.114044841
Cd44,0.002086014,4.250701999
Cd44,0.007657611,2.814007325
Cd69,0.002124904,0.218805108
Cd80,0.01608561,2.780616791
Cd8b1,0.00422571,0.164297931
Cd93,0.002574881,0.108554856
Cd96,0.008702782,0.224909426
Cd97,8.95E-05,0.087204332
Cdc20,0.061840983,3.465669881
Cdc25c,0.038623692,3.017273072
Cdc42bpa,4.45E-05,0.287552612
Cdc42bpa,0.000259125,0.315704093
Cdc42bpa,0.000906784,0.402806582
Cdc42bpa,0.001154066,0.422738629
Cdc42ep1,0.000924831,0.319885806
Cdc42ep4,0.018262024,0.496268801
Cdc42ep5,0.001760402,3.134395478
Cdc42se1,0.011021006,1.900051258
Cdc6,0.164858198,1.818356879
Cdca2,0.178322556,1.9564654
Cdca3,0.02929451,3.517054595
Cdca5,0.049156527,3.568087807
Cdca5,0.039789188,3.533959302
Cdca5,0.048787529,3.470572371
Cdca5,0.043105111,3.440347155
Cdca5,0.043155876,3.432865495
Cdca5,0.046550959,3.38462146
Cdca5,0.045599254,3.369444453
Cdca5,0.051004846,3.368993575
Cdca5,0.046407802,3.299539337
Cdca5,0.069446113,3.199612968
Cdca7,0.00104212,2.678017975
Cdca7l,0.00139496,2.287856296
Cdca8,0.032217106,4.441857506
Cdca8,0.057208779,3.609694426
Cdcp1,0.001040014,2.882465006
Cdh1,0.004259821,2.306067356
Cdh1,0.004387637,2.279774587
Cdh1,0.001909093,2.224544564
Cdh1,0.00485652,2.218895208
Cdh1,0.005389688,2.218470616
Cdh1,0.002733384,2.199975418
Cdh1,0.008441932,2.195957353
Cdh1,0.006361906,2.164925012
Cdh1,0.00527969,2.151703116
Cdh1,0.006138039,2.123809472
Cdh11,0.003270037,0.327761178
Cdh16,0.000158412,0.067071336
Cdh2,0.154628052,0.570789823
Cdh3,0.000301552,27.81105157
Cdh5,0.001717464,0.105682984
Cdhr1,0.015001472,8.465895604
Cdk1,0.030757491,4.272494491
Cdk14,0.000859836,0.244329118
Cdk14,0.003293713,0.260810497
Cdk18,0.001555657,4.5203595
Cdkl4,0.018008675,0.312487504
Cdkn1c,0.07081834,0.334415434
Cdkn3,0.049113297,3.4550303
Cdo1,2.14E-05,0.085301669
Cdr2l,0.000172479,0.258614415
Cdsn,0.013057445,23.58584861
Cdyl2,0.001013857,0.452031581
Ceacam10,0.020355037,5.458883032
Ceacam2,0.006579496,16.137825
Ceacam20,0.061949459,1.692134136
Cela1,7.51E-05,3.919985599
Celf2,0.002744686,0.40569064
Celf4,5.65E-05,8.761525223
Celf4,6.74E-05,4.369030628
Celsr1,0.00487061,2.76447441
Celsr2,0.000309424,5.960980284
Celsr2,0.000262337,2.729520882
Cenpa,0.210756311,2.126038315
Cenpe,0.060173861,3.185527277
Cenph,0.00584926,4.053611392
Cenpi,0.075402151,2.008654185
Cenpk,0.009978738,2.691990944
Cenpm,0.016308125,3.795992332
Cenpn,0.077706962,2.373917276
Cenpp,0.015017853,3.775720235
Cenpq,0.002716367,2.155174344
Cenpq,0.005776739,1.833730807
Cenpt,0.001034076,3.272165218
Cenpw,0.045091705,3.168938406
Cep68,0.001701679,0.5076801
Ces2b,4.28E-05,5.471304941
Ces2f,0.000128642,5.408118428
Ces2g,0.000632369,3.22207165
Cetn4,0.039202915,0.515773346
Cfh,0.00117746,0.176939919
Cfhr2,0.001588314,0.238529306
Cfi,0.003421578,5.557480472
Cfl2,0.000505077,0.51964003
Cflar,0.000511982,0.453602344
Cgref1,0.007537692,6.441795248
Ch25h,0.006919283,2.966808503
Chac1,0.009018611,3.740041406
Chac2,0.000748117,5.500780155
Chaf1a,0.060517787,2.245776356
Chaf1b,0.016576259,2.379508704
Chaf1b,0.022616105,2.329727772
Chchd5,0.000343867,2.616196395
Chchd5,0.003619104,2.001564295
Chd5,0.000322345,0.236246609
Chdh,0.009753262,3.072748588
Chga,0.000803251,0.44915078
Chgb,3.44E-05,0.294176845
Chgb,0.009825176,0.299048267
Chgb,0.001161589,0.305809345
Chgb,1.71E-05,0.323152768
Chgb,0.003927321,0.327215966
Chgb,0.006565348,0.327323754
Chgb,9.05E-06,0.368467603
Chgb,0.00017737,0.383585889
Chgb,0.334703333,0.525168814
Chic1,0.181988914,0.676873936
Chl1,3.83E-05,30.96772928
Chl1,1.07E-05,17.47962098
Chml,0.001446467,2.024864564
Chmp1b,0.009437448,1.73557951
Chmp4b,1.06E-06,2.280617197
Chpt1,0.000582904,0.440905888
Chpt1,0.001214488,0.44180215
Chrdl1,4.40E-05,0.077664521
Chrdl1,3.17E-05,0.105841566
Chrdl1,0.013045999,0.210902381
Chrm2,0.006302341,0.244303985
Chrnb1,0.000665787,0.392182421
Chst1,0.007627161,0.163660193
Chst15,0.007065535,0.393374281
Chst2,0.005253988,0.153885026
Chst3,0.00429457,0.250203097
Chst4,0.000679447,0.146098716
Chst5,0.008219875,0.377965231
Chst7,0.0061471,0.26060222
Chst8,0.002576163,0.037115266
Chtf18,0.084337888,2.092533156
Cib3,6.54E-06,18.69346211
Cidec,0.002064855,0.105122483
Cited1,0.001951286,7.617118393
Ckap2,0.054971671,3.063084225
Ckap2l,0.063294018,2.313711584
Ckap4,0.002577381,3.234698436
Ckmt1,0.000204823,11.87314481
Cks1b,0.015135188,2.921788033
Cks1b,0.013500486,2.837857091
Cks2,0.039510217,2.880004727
Clca5,0.001020217,3.991042424
Clcn5,0.00052468,3.016711238
Clcn5,0.001397633,2.567371087
Cldn14,0.00766087,2.182348771
Cldn15,0.001805207,0.245208049
Cldn2,0.000275414,76.26334497
Cldn23,0.009357342,5.782838452
Cldn4,2.32E-05,20.6088269
Cldn4,1.74E-05,13.44413297
Cldn5,0.000339175,0.066316644
Cldn7,0.000160371,3.317563302
Clec14a,0.000504274,0.071108224
Clec14a,0.000844591,0.097287335
Clec1a,0.003443043,0.047643534
Clec1b,0.00555398,0.329147444
Clec2d,0.003678394,0.324170127
Clec3b,8.85E-06,0.09649236
Clec4b1,0.004865125,0.256882523
Clec4g,0.001558531,0.10518454
Clec9a,1.66E-05,0.118725104
Clic4,0.009830533,0.080906866
Clic4,0.009568854,0.087748258
Clic5,4.63E-06,0.076604187
Clint1,0.000667149,2.914532478
Clint1,0.000124834,2.824168292
Clip4,1.63E-05,6.189677746
Clip4,1.24E-05,5.902868878
Clip4,0.000528433,4.040496266
Clip4,0.0003515,3.870446166
Clip4,0.001641349,3.795498592
Clspn,0.079436671,2.118868996
Clstn2,0.000140125,0.097760841
Clu,9.70E-05,5.168536885
Clybl,0.000234782,3.980548969
Clybl,0.000647385,3.657859482
Cmas,0.000405666,2.640063116
Cmc1,0.000362368,2.712841375
Cmklr1,0.001225586,0.284014263
Cmtm4,0.011783869,2.358767916
Cnfn,0.064481736,9.916828269
Cnga1,0.027701475,0.417776864
Cnksr1,0.000921582,1.862635505
Cnksr2,0.346094258,0.337973062
Cnn1,0.000207218,0.091255827
Cnn2,0.00208722,0.43938999
Cnn2,0.000772916,0.473275476
Cnnm4,0.001843653,2.167748489
Cnrip1,0.003573606,0.230119971
Cobl,0.002888421,0.378866378
Cobl,0.000830348,0.440101898
Col10a1,0.000494921,5.031019313
Col11a1,0.001585758,5.305056075
Col13a1,0.007439221,0.121483822
Col17a1,0.000181091,20.00981037
Col23a1,0.039952806,0.318853517
Col23a1,0.046744776,0.352372865
Col2a1,7.09E-05,2.712722255
Col4a3,0.011606241,0.058871819
Col4a4,0.003352023,0.093873519
Col4a4,0.006546825,0.148355224
Col4a4,0.003504549,0.214746296
Col4a5,0.002563329,0.288364033
Col4a6,0.000336829,0.149221826
Col6a2,0.021728949,0.190799766
Col7a1,0.002961015,5.250108811
Col8a2,0.000412026,0.19512104
Colec12,0.00560758,0.23206695
Colq,0.000613141,0.026651922
Colq,0.011174096,0.365658909
Copg2,0.001551137,2.585051466
Copg2,0.002799241,2.526969438
Coro2a,0.002187887,2.719512089
Coro2a,8.29E-05,2.57793505
Coro2b,0.002632834,0.10358641
Coro7,0.004572591,2.71776155
Cotl1,0.005792738,1.955522262
Cox4i2,6.40E-05,0.149756363
Cox6a2,0.007028588,0.064530639
Cox6b2,0.000620768,0.201802761
Cox8b,0.00022191,0.052843822
Cpa2,0.002263854,2.711058702
Cpa3,0.130658529,0.493404578
Cpa4,0.101200832,4.448259491
Cpb1,0.000619781,0.350777164
Cpeb1,0.004199338,0.33798411
Cplx2,3.88E-05,0.315329157
Cpm,0.000192096,0.097643544
Cpne2,0.014468659,1.85711355
Cpne2,0.01211043,1.850554477
Cpox,7.51E-05,2.695323572
Cpt1a,0.005497422,0.337802807
Cpt1a,0.004844603,0.338726425
Cpt1a,0.005650704,0.340266902
Cpt1a,0.00884768,0.345448077
Cpt1a,0.00613542,0.347626402
Cpt1a,0.008579708,0.349182236
Cpt1a,0.00852173,0.350023512
Cpt1a,0.006286807,0.353827739
Cpt1a,0.004222991,0.361653747
Cpxm2,0.018812908,4.357542207
Cr2,0.057205655,0.25029236
Cradd,0.000606338,3.044217551
Crb3,0.004671395,1.948447372
Crbn,1.42E-05,0.622582585
Crct1,0.011567814,64.65059316
Creb1,0.030034834,0.625905457
Crebl2,0.232839049,0.684536086
Crebzf,0.004382256,0.527119148
Crim1,0.000168951,0.53107226
Crip1,0.002844206,0.265746493
Crip2,0.000526936,0.288934867
Crip3,0.00701366,0.385853426
Crispld2,0.000411438,0.044987178
Crispld2,0.000220604,0.048870427
Crlf1,0.006511965,2.037951612
Crlf3,0.000519926,0.229964536
Crot,1.19E-05,2.334442016
Cry2,0.002665534,0.315355277
Cry2,0.006090607,0.423614225
Cryaa,0.009772083,0.446876027
Cryab,0.000108786,0.123538663
Cryab,0.000577777,0.130079586
Csdc2,0.004133093,0.408864304
Csf2,0.006011109,0.327643647
Csf2,0.009304187,0.349488269
Csf3r,0.000340261,0.442852957
Csgalnact1,0.000274399,0.133937209
Csgalnact2,0.000259812,0.443200691
Cst3,0.003907372,0.398115131
Cst8,0.002632781,0.09604037
Cstb,0.001485148,3.833912939
Ctdsp2,0.002147593,0.512461788
Ctdspl,0.000177816,0.422044236
Ctdspl,3.49E-05,0.501666978
Ctla2a,0.000683714,0.234576971
Ctla2b,0.000693269,0.251618279
Ctnnal1,1.16E-05,0.389007342
Ctnnbip1,4.77E-05,4.081057815
Ctnnd2,0.00141853,0.206389785
Ctnnd2,0.000443838,0.21262362
Ctps2,0.00173052,0.395134415
Ctsa,0.002679528,2.307208523
Ctsb,0.014086749,2.01650926
Ctsd,0.071380778,2.217414226
Ctso,0.005148586,0.485666108
Cttn,0.000283225,2.995582401
Cttn,0.000434417,2.254676036
Cttnbp2nl,0.007821235,0.304011636
Cux2,0.321086366,0.683703503
Cwh43,0.001762983,101.9771911
Cxcl15,0.009650621,0.057320848
Cxcl17,0.006803314,7.412907258
Cxcl2,0.002862164,4.779123112
Cxcl3,0.007349076,63.29767332
Cxcl5,0.00065466,162.4570175
Cxcr6,0.000454525,0.226974231
Cxcr6,0.000504054,0.235993727
Cxx1a,0.001083085,0.327480476
Cxx1b,0.000124148,0.172780047
Cxx1c,5.16E-05,0.170516715
Cxx1c,2.94E-05,0.216482433
Cyba,0.003927397,1.749458565
Cybasc3,0.000552251,0.4760713
Cygb,0.000429767,0.330949745
Cyp11a1,0.054409476,0.539351063
Cyp1a1,0.001497311,0.142391119
Cyp21a1,0.001459132,5.756463857
Cyp2b10,0.004732262,0.177144419
Cyp2b9,0.008237149,0.266488731
Cyp2c55,0.000155545,0.34401856
Cyp2d11,0.000440431,0.265187342
Cyp2d12,0.00138074,0.268222239
Cyp2d22,0.000146082,0.208137336
Cyp2j13,0.005386355,2.557135761
Cyp2j6,0.000781466,2.754317458
Cyp2j8,0.003562756,2.488247253
Cyp2s1,0.004146824,0.375630083
Cyp3a13,0.000536909,9.03429008
Cyp4b1,0.000785257,0.045146689
Cyp51,0.007149081,2.615088629
Cyp7b1,0.032557824,1.877413615
Cys1,0.002716474,0.061256815
Cyth3,9.31E-06,0.214349497
Cytip,0.000728239,0.268143805
Cytl1,0.006208117,0.046688727
Cyyr1,0.000314632,0.064453989
D0H4S114,0.004086617,0.304273367
D130043K22Rik,0.004366455,0.42184954
D130046C19Rik,0.000967533,0.473960869
D130050E23Rik,0.007660108,0.252864878
D130062J21Rik,0.000616586,0.180222298
D14Ertd449e,0.000529317,2.497996527
D19Ertd652e,0.001060355,0.145727412
D19Ertd652e,0.002072704,0.196524358
D230030E09Rik,0.002038995,0.364536943
D2Ertd750e,0.114941703,2.347078371
D2Ertd750e,0.021417642,2.012708547
D4Bwg0951e,0.002167657,0.411009111
D4Wsu53e,0.000438853,0.439222521
D630010B17Rik,0.061525518,2.40747137
D630013G24Rik,0.018095301,0.266081992
D630032N06Rik,0.001934253,2.080716697
D730005E14Rik,0.00190498,2.493935673
D830044I16Rik,0.001253436,0.43473076
D8Ertd82e,0.004157286,4.903290833
D8Ertd82e,0.0052788,3.562260117
D930001M23Rik,0.005443119,0.535816731
D930020E02Rik,0.003961824,0.186521806
Dab2ip,0.000769109,0.537702672
Dach1,0.000872934,0.128025206
Dach1,0.001609274,0.15546425
Dact1,0.002852319,0.405720085
Dact1,0.005991486,0.428752612
Dact3,0.000100756,0.276163503
Dak,0.002266705,2.307136309
Dao,0.000184381,4.95566201
Dapl1,0.000123586,86.60770675
Dbf4,0.250790413,1.522106316
Dbndd1,0.002519502,0.225416597
Dbndd2,0.000630234,0.303512435
Dcaf12l1,0.007722483,0.488246627
Dcaf12l2,0.006630691,0.432447897
Dcaf4,0.003915217,2.093408811
Dcaf7,1.34E-05,2.38328281
Dclk3,0.001794816,0.151343035
Dctd,0.000660808,6.444582167
Dctd,0.002624322,3.883459492
Dctpp1,0.001994707,2.649731286
Ddah1,0.000787272,0.189323287
Ddah1,0.000793978,0.190038873
Ddah1,0.000564571,0.192314672
Ddah1,0.00031628,0.192761529
Ddah1,0.001211998,0.194226535
Ddah1,0.000356946,0.200722695
Ddah1,0.000803538,0.203691592
Ddah1,0.002955125,0.209731275
Ddah1,0.001217373,0.216611434
Ddah1,0.000318935,0.218510529
Ddah1,0.000545532,0.231284381
Ddah2,0.000457923,0.295237778
Ddc,0.000333351,0.181912318
Ddo,0.005235737,0.364313388
Ddr1,0.000295128,2.983535407
Ddr2,0.020291962,0.21112637
Ddx19a,0.002228816,1.928561362
Ddx26b,0.003300543,0.415283471
Ddx39,0.006487652,2.023924584
Ddx5,0.003232468,0.534074971
Defb1,0.004314278,15.46394673
Defb14,0.020294659,21.40707745
Defb25,0.002181866,0.353090416
Degs2,0.002434683,7.176179977
Degs2,0.005323411,7.059011657
Degs2,0.006269636,6.918665902
Degs2,0.004551778,6.548739911
Degs2,0.003503871,6.425121954
Degs2,0.005389148,6.363126269
Degs2,0.009115869,6.306735532
Degs2,0.00442285,6.089103772
Degs2,0.004502041,5.778798193
Dennd2a,0.003604935,0.129931633
Dennd2c,0.007670527,2.112911255
Dennd3,8.73E-05,0.256424271
Dennd3,4.94E-06,0.25888614
Dennd3,2.28E-05,0.266180569
Dennd3,2.01E-05,0.267186515
Dennd3,1.37E-05,0.267211619
Dennd3,3.45E-05,0.267261934
Dennd3,2.36E-05,0.26832715
Dennd3,4.25E-05,0.26872957
Dennd3,8.74E-05,0.26932877
Dennd3,6.29E-05,0.276837157
Dennd4b,0.001692917,0.326856213
Dennd5a,4.40E-05,0.250176869
Dennd5a,2.99E-07,0.262296678
Dennd5b,4.14E-05,0.255703242
Dennd5b,0.001107835,0.397288256
Depdc1a,0.007911361,3.335517483
Des,0.000332032,0.159313029
Des,0.000186216,0.165518269
Des,1.94E-05,0.170183919
Des,0.000134019,0.171864108
Des,0.000214631,0.172958402
Des,3.68E-05,0.174859621
Des,1.28E-05,0.178888349
Des,7.09E-05,0.185125606
Des,0.000207876,0.185263847
Des,0.000344215,0.188682578
Dgkb,0.021427001,0.353782109
Dgkg,0.00066807,0.174355601
Dgkh,0.00192485,0.273094057
Dgkz,0.001390557,0.458919164
Dhdh,3.98E-05,0.246928516
Dhh,0.002176089,0.178270035
Dhrs7,0.000209306,0.491873991
Dhrs9,6.65E-05,17.08150183
Dhx32,2.07E-05,2.084712129
Dhx32,0.000188446,2.065414738
Dkk2,0.001439353,9.721935386
Dkk3,0.00023799,0.269284196
Dlc1,0.001248548,0.180468798
Dlg4,0.008453185,0.446017995
Dlgap5,0.065449115,2.596862528
Dlgap5,0.008800245,2.351650683
Dlk2,6.77E-06,9.993533391
Dlk2,0.001811598,2.973092185
Dll4,0.005210128,0.366938454
Dmbt1,0.000361976,565.0508239
Dmd,0.003541933,0.32794208
Dmd,0.00151057,0.340367333
Dmd,0.004387925,0.417970905
Dmpk,0.000537282,0.295509347
Dmpk,0.000748047,0.39869827
Dmwd,0.000333669,0.356503262
Dnahc11,0.003623901,0.154141059
Dnahc2,0.000824508,0.166259956
Dnahc3,0.055951075,0.261304899
Dnahc6,0.002735292,0.08359139
Dnahc7a,0.001409576,0.13599561
Dnahc7b,0.000302723,0.258169135
Dnahc7b,0.001325763,0.426519878
Dnahc7b,0.160549397,0.580805756
Dnahc8,0.001127148,0.128779918
Dnahc9,0.00034041,0.101818732
Dnaic1,0.001992462,0.184991561
Dnaic2,0.003242797,0.133611032
Dnajb13,0.001730083,0.27170803
Dnajb2,0.005517525,0.408770915
Dnajc17,0.000152401,4.418599906
Dnajc22,0.036033457,4.242199443
Dnajc5,0.000537991,2.320146138
Dnajc5,8.49E-05,2.051649524
Dnajc5,0.000420245,0.480856876
Dnali1,0.003652091,0.092371116
Dnm1,0.00118593,0.353393845
Dock4,5.12E-06,0.113160156
Dock4,7.35E-05,0.473196526
Dock6,1.30E-05,0.227063705
Dock8,0.047494824,0.466494081
Dock9,0.000273037,0.43590256
Dok4,0.000987939,0.27296455
Dpep1,6.86E-05,0.028970043
Dph1,2.74E-05,2.333130889
Dpp4,1.37E-05,0.102485545
Dpt,0.003481674,0.06145051
Dpt,0.00200478,0.064059593
Dpt,0.002000773,0.065120515
Dpt,0.002276219,0.067722509
Dpt,0.001334825,0.06951405
Dpt,0.000765215,0.071302541
Dpt,0.001018554,0.07265229
Dpt,0.001114642,0.074340578
Dpt,0.000351538,0.083850067
Dpt,0.003388922,0.138390009
Dpysl2,0.000693335,0.088201391
Dsc2,0.000634997,69.30783438
Dsc3,9.82E-05,4.481486584
Dsc3,0.000202693,2.505067156
Dscc1,0.029015335,2.249450192
Dsg2,0.00036984,7.834697879
Dsg2,0.000338798,7.309412801
Dsg3,0.001335884,42.19779358
Dsg3,0.001268592,23.39233807
Dsp,0.000203204,9.16873593
Dsp,0.000219884,9.146887883
Dsp,0.00024939,8.945623763
Dsp,0.00030616,8.746734194
Dsp,0.000515075,8.731059229
Dsp,0.000390077,8.697109899
Dsp,0.000312157,8.657869035
Dsp,0.000265332,8.330280092
Dsp,0.000265835,8.319720934
Dsp,0.000430085,8.301386551
Dsp,0.000615978,5.060353322
Dst,0.000211018,0.274493576
Dst,0.000122326,0.450000924
Dtl,0.019213593,3.687072926
Dtna,0.020535115,0.379862624
Dtx1,0.003222015,0.15451925
Dtymk,0.002560212,2.460998014
Duox1,9.48E-05,23.83965666
Duox1,0.000395267,23.36053169
Duox1,1.58E-05,21.9024304
Duox1,5.04E-05,21.2259303
Duox1,4.26E-05,20.54856802
Duox1,2.85E-05,20.35050158
Duox1,0.000104959,20.21454602
Duox1,0.000125796,19.2761757
Duox1,3.77E-05,18.83336691
Duox1,4.76E-05,17.6041763
Duoxa1,1.77E-05,320.5696319
Duoxa1,1.53E-05,29.69969079
Dusp16,0.014240786,3.307571171
Dusp16,0.012959042,3.212101191
Dusp3,0.000738671,0.22928554
Dusp3,0.004835981,0.347714194
Dusp7,0.011673881,0.440994391
Dusp7,0.008679147,0.45643887
Dusp8,0.009367024,0.261670236
Dut,0.004292789,2.054543508
DXBay18,0.003435698,0.266460669
Dydc2,0.001297531,0.183734897
Dydc2,0.004890349,0.389465766
Dynlrb2,0.003822136,0.081169858
Dyx1c1,0.003537716,0.275554848
E030013I19Rik,0.002855363,0.264331243
E030019B06Rik,0.008833231,0.114899096
E030044B06Rik,0.001688652,0.380633383
E030046B03Rik,0.002676053,0.343766987
E030047D23Rik,0.017764612,0.416282918
E130203B14Rik,0.002390573,0.275211946
E230008N13Rik,0.003933072,0.221626465
E2f3,0.00024715,2.096604774
E2f7,0.092215223,2.579214587
