Gene,FDR,FC
4930471M23Rik,0.00225792,2.39535795
4930473A06Rik,0.006754106,0.429670238
4930486L24Rik,0.003111019,0.167516057
4930524J08Rik,0.000671842,2.103782835
4930529M08Rik,0.033599338,0.52965263
4930547N16Rik,0.032967869,2.486965727
4930558N11Rik,0.000580345,0.435404843
4930562C15Rik,0.005170645,0.154555337
4930579G22Rik,3.94E-05,0.580355374
4930583H14Rik,0.002183471,18.12961671
4931406P16Rik,0.000500674,0.381996322
4932425I24Rik,0.001139154,0.173493511
4933406C10Rik,0.000184935,0.229509244
4933412E12Rik,0.00058461,0.215088405
4933430H15Rik,0.001300009,0.2017493
4933430I17Rik,0.092849892,2.553912001
4933439F18Rik,0.00025055,0.481409814
5330437I02Rik,0.000400951,0.461025519
5430407P10Rik,0.000742077,4.578842322
5730416F02Rik,0.000872086,4.297620275
5730508B09Rik,0.000626931,2.643872937
5730528L13Rik,0.007961554,2.020002907
5730559C18Rik,0.000244593,19.47217919
5730590G19Rik,0.036079324,4.218739442
5730590G19Rik,0.153429956,1.915627963
5830405N20Rik,0.001824962,0.25106041
6330403K07Rik,0.000608961,0.123900735
6330503K22Rik,0.000425631,0.490176326
6330512M04Rik,0.030626209,0.42433504
6330578E17Rik,0.001180878,2.312147917
6430531B16Rik,0.009763692,0.28813679
6430573F11Rik,0.041419652,0.387290873
6720463M24Rik,0.074952439,1.747256807
8430426J06Rik,0.003371689,0.133951342
8430427H17Rik,0.028483353,0.505426186
9030224M15Rik,0.000114234,0.099690411
9030409G11Rik,0.001364949,0.213448533
9130015G15Rik,0.005439659,0.308864606
9130017N09Rik,0.002700569,3.558957166
9230104L09Rik,0.000609031,0.040780671
9330159N05Rik,0.005599386,4.01419345
9330182L06Rik,0.006150839,0.389309717
9430020K01Rik,0.000372216,0.091684783
9430025E04Rik,0.002440928,1.775479305
9530003J23Rik,0.001014715,0.224388686
9530008L14Rik,0.088600503,2.588772036
9830001H06Rik,0.000512839,0.161565831
9830107B12Rik,0.030789113,1.55556059
9830147E19Rik,2.17E-06,0.289719652
9930032O22Rik,0.000101751,326.8494904
9930111J21Rik1,0.001241539,0.401486186
A230057D06Rik,0.000637387,0.313880284
A330009N23Rik,0.001341604,0.176700223
A330021E22Rik,0.01503987,0.306002102
A430078G23Rik,0.001144633,0.351023236
A430078G23Rik,0.000793548,0.419301151
A430105I19Rik,9.27E-05,0.424825823
A430107O13Rik,0.002422201,0.107327292
A430107O13Rik,0.000281789,0.111678619
A4galt,0.008350411,0.403042358
A530064D06Rik,0.003300781,0.286248772
A530099J19Rik,0.003857829,0.166223219
A930007A09Rik,0.00171833,0.459615028
A930028N01Rik,0.001583467,0.350869821
AA467197,1.01E-05,599.951188
Aard,0.000242248,0.042385308
Aatk,0.001391942,0.15101293
AB041803,0.024198822,0.500774204
Abat,0.033983335,0.271841946
Abca17,0.000422508,0.191639901
Abca6,0.003657278,0.302460784
Abca8a,1.00E-05,0.111919473
Abca8b,0.001085894,0.134991556
Abcb1a,0.004844916,0.301257401
Abcb9,0.003425465,0.469829824
Abcc4,0.000711851,5.544273421
Abcd2,0.001292991,0.228544861
Abcg5,0.015191603,3.644950922
Abhd6,0.00044614,2.729727681
Abhd6,0.001685209,2.497736875
Abi3,0.009167315,0.164925865
