ID,Abraham Lincoln,Albert Einstein,Antoine de Saint-Exupery,Douglas Adams,Homer,Jane Austen,Joanne K Rowling,Karl Marx,Mahatma Gandhi,William Shakespeare,Voltaire,Leo Tolstoy,Ernest Hemingway,Benjamin Franklin,Confucius
1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,0,2,0,0,1,0,2,2,2,2,2,0,0,0,0
1295,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0
1335,0,1,0,0,1,2,2,1,0,2,0,1,1,0,1
1983,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
1802,1,2,2,0,2,1,3,1,0,2,1,0,0,0,0
1562,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1359,1,1,1,1,1,1,2,1,1,1,0,0,1,1,2
1947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
1837,1,2,0,0,1,2,2,0,1,1,0,0,0,1,0
1756,,,,,,,,,,,,,,,
1609,1,1,0,0,0,0,2,0,0,2,0,0,0,0,1
1702,0,0,1,0,0,1,2,0,2,2,2,0,0,0,0
1885,1,1,0,1,0,1,1,2,1,2,0,2,2,1,1
1306,0,2,0,0,1,2,2,1,1,3,0,0,0,0,0
1579,1,2,0,0,0,3,3,0,2,3,0,0,0,1,0
1978,2,1,0,0,0,0,1,2,2,2,0,0,0,2,1
1300,1,2,0,2,0,2,2,1,1,1,0,0,0,1,1
1820,2,2,0,1,1,1,3,1,2,3,0,1,2,0,1
