SPRING-x	SPRING-y	Annotation
2867.544	148.704	Monocyte
-1902.921	-986.153	Mast
853.109	-1779.104	Neutrophil
2761.577	-69.006	Monocyte
-896.948	-749.256	Baso
1712.526	-2186.549	Neutrophil
-966.363	-1935.886	Baso
2428.896	-321.825	Monocyte
1014.042	-443.694	Undifferentiated
1324.6	-308.368	Undifferentiated
524.189	-631.184	Undifferentiated
573.239	-444.223	Undifferentiated
1968.221	-443.381	Monocyte
-1852.682	-994.407	Mast
-1769.354	-902.56	Mast
-1871.788	-954.363	Mast
3003.142	283.332	Monocyte
-1383.849	-620.372	Mast
2633.751	-1888.555	Neutrophil
-970.913	-2097.353	Baso
-949.206	-1037.07	Baso
-1971.248	887.042	Meg
426.268	-187.17	Undifferentiated
1098.749	-750.598	Undifferentiated
583.633	-616.309	Undifferentiated
724.275	-270.143	Undifferentiated
2420.202	-130.746	Monocyte
-1826.27	-935.218	Mast
2821.105	42.642	Monocyte
-903.242	-2102.621	Baso
1353.038	-2147.749	Neutrophil
859.488	-1804.196	Neutrophil
2306.859	-293.116	Monocyte
2705.162	-1720.154	Neutrophil
1530.826	-2162.277	Neutrophil
814.836	-705.027	Undifferentiated
2115.375	-349.219	Monocyte
447.673	-139.422	Undifferentiated
2464.89	-35.845	Monocyte
-794.902	-636.356	Baso
973.308	-237.451	Undifferentiated
1823.4	-353.737	Monocyte
-1048.644	-1200.691	Baso
-1080.72	-0.395	Undifferentiated
-1083.797	-1470.597	Baso
2445.261	-1205.859	Undifferentiated
-1147.447	297.811	Undifferentiated
1116.227	-1953.688	Neutrophil
581.184	-748.482	Undifferentiated
726.48	-12.597	Undifferentiated
853.454	129.125	Undifferentiated
549.575	-509.001	Undifferentiated
975.798	-459.183	Undifferentiated
2586.378	-103.051	Monocyte
-992.013	125.177	Undifferentiated
937.525	-1815.86	Neutrophil
2848.342	45.08	Monocyte
2947.776	432.348	Monocyte
1828.602	-2148.489	Neutrophil
-1560.249	-757.698	Mast
2513.74	-986.944	Undifferentiated
2772.756	-1691.395	Neutrophil
339.407	-289.556	Undifferentiated
-1064.977	-1327.283	Baso
248.659	227.898	Undifferentiated
2010.895	-503.06	Monocyte
-1069.804	-1336.807	Baso
2745.878	172.647	Monocyte
-842.352	372.852	Undifferentiated
1961.053	-579.212	Undifferentiated
2541.181	-1742.022	Neutrophil
1456.472	-194.43	Monocyte
3000.121	250.595	Monocyte
3017.146	481.894	Monocyte
-1908.3	814.74	Meg
1314.821	-560.76	Undifferentiated
643.919	-384.994	Undifferentiated
750.386	-1602.867	Neutrophil
587.422	-444.356	Undifferentiated
2991.474	310.274	Monocyte
2406.148	-310.575	Monocyte
3016.77	612.724	Monocyte
-1134.776	-319.931	Undifferentiated
-1076.569	-1303.705	Baso
1715.091	-2200.914	Neutrophil
1640.454	-2103.193	Neutrophil
1337.11	945.916	Undifferentiated
2600.308	-486.583	Undifferentiated
2799.432	-1567.062	Neutrophil
520.574	-363.823	Undifferentiated
641.997	-372.599	Undifferentiated
591.955	-764.188	Undifferentiated
1300.077	-334.05	Undifferentiated
2382.999	-322.123	Monocyte
663.795	-802.016	Undifferentiated
788.858	-1646.478	Neutrophil
-1653.981	-885.919	Mast
2742.961	-52.21	Monocyte
-854.832	-2023.715	Baso
2987.416	231.355	Monocyte
-964.09	-913.13	Baso
2594.363	-1831.494	Neutrophil
2686.392	-1671.215	Neutrophil
2602.0	-1906.234	Neutrophil
593.359	-649.629	Undifferentiated
1639.367	-268.64	Monocyte
941.462	66.49	Undifferentiated
1774.499	-354.888	Monocyte
783.365	-1648.598	Neutrophil
2816.57	171.731	Monocyte
1166.014	-2089.064	Neutrophil
-1534.501	159.165	Erythroid
2257.799	-2064.36	Neutrophil
-956.768	-640.166	Undifferentiated
2367.81	-1866.83	Neutrophil
-1205.439	371.598	Undifferentiated
-1610.048	-796.526	Mast
1854.602	-2127.121	Neutrophil
2748.694	-1638.727	Neutrophil
386.281	76.683	Undifferentiated
474.883	-190.392	Undifferentiated
763.317	-1508.512	Neutrophil
449.107	-139.686	Undifferentiated
2961.562	389.38	Monocyte
1784.039	-61.099	Monocyte
-1425.909	-670.447	Mast
2051.811	-347.054	Monocyte
2551.89	-145.907	Monocyte
315.128	151.761	Undifferentiated
2996.9	682.618	Monocyte
-1592.42	588.068	Meg
-1432.309	-885.015	Mast
-566.138	-81.419	Undifferentiated
626.239	-1101.562	Neutrophil
449.801	7.91	Undifferentiated
1821.082	-2140.041	Neutrophil
2308.365	-388.174	Monocyte
