3.1262,12.327,-0.056712,1,1,1.9203
1.0734,22.379,0.082818,0.98346,1,0.18711
0.80292,36.087,-0.25651,1,0.75363,1.12E-09
0.061112,30.724,0.92239,0.969,0.99762,4.3841
0.053543,22.544,0.85536,0.95134,0.98625,2.9893
440.55,1.6506,-1.3005,0.79873,0.74746,1.7837
0.051327,15.54,0.89447,0.96713,1,9.9549
0.033999,13.799,0.88284,0.93433,0.99741,5.0445
1.3362,2.8723,0.83552,0.9192,0.84204,1.3487
5.3102,11.691,-0.1135,1,1,3.8951
5.35E-05,9.328,-0.40399,0.41394,0.80372,0.74469
0.07114,50.207,0.93507,1,1,8.5118
1.6905,4.0458,0.11555,1,1,2.4867
1.3342,3.5671,-0.069394,0.83824,0.94516,5.5176
0.0001017,3.876,-1.4377,0,0.8956,0.56654
0.002235,9.0825,0.82012,0.98051,0.94488,3.7244
0.28781,8.2602,-0.51683,0.40826,0.61731,6.1025
2.5341,12.03,-0.010295,1,1,6.3726
0.30268,5.9585,0.44486,0.93845,1,2.0269
3.86E-06,2.2725,-0.11448,0.96187,1,3.4058
0.00022141,0.80427,-1.9432,0.44388,1,2.4577
0.14995,8.4,-1.1507,0,0,5.6532
0.00085938,1.0818,-1.6622,0.19322,0.31199,2.4902
2.3674,26.889,0.09161,0.95262,0.9927,0.90746
0.24022,0.61396,-1.9919,0,0.43551,5.9327
0.00010474,1.3528,-1.1868,1,1,1.8357
0.058161,14.443,0.91755,0.99078,1,9.2597
