naive_hESC_rep1	naive_hESC_rep2	naive_hESC_rep3	naive_hESC_rep4	primed_hESC_rep1	primed_hESC_rep2	primed_hESC_rep3	primed_hESC_rep4	exonlength
ACAA2	9585	9254	5812	10605	3425	2731	5212	4021	1924
ACACA	7515	9144	7225	7190	2504	2299	2500	3363	49290
ACACB	130	251	253	243	218	235	206	343	9197
ACAD10	199	280	267	226	106	109	81	111	8078
ACAD11	3	2	8	5	2	0	1	2	3536
ACAD8	373	400	365	424	260	262	279	418	2190
ACAD9	229	205	370	338	95	117	62	115	5290
ACADL	1	5	2	2	9	5	10	11	2479
ACADM	1122	1243	886	1345	1370	713	1868	1227	5194
ACADS	61	95	37	40	1	4	0	1	1907
ACADSB	153	167	225	178	635	683	507	797	5930
ACADVL	523	898	913	666	226	202	129	345	4471
ACAN	26	33	60	59	9	6	15	18	17349
ACAP1	2	2	4	5	3	10	6	17	2486
ACAP2	1153	1094	823	1146	917	807	1028	998	7147
ACAP3	15	25	52	52	3	13	0	14	3735
ACAT1	418	561	271	216	238	203	219	259	2122
ACAT2	1804	1361	1078	1643	439	371	631	579	1542
ACBD3	1839	2429	1358	1957	1077	778	800	945	3557
ACBD4	30	45	152	89	63	86	36	87	9272
ACBD5	491	594	641	734	586	516	608	655	11546
ACBD6	468	513	198	269	257	247	212	294	1608
ACBD7	187	180	510	386	426	594	385	576	3366
ACCN1	3	11	12	13	4	3	3	6	6112
ACCN2	19	38	45	30	21	15	7	19	7670
ACCN3	74	58	132	89	9	5	2	4	6133
ACCN4	1	0	0	4	0	2	0	2	5726
ACCN5	0	1	0	0	0	0	0	0	1682
ACCS	36	61	97	53	22	32	10	28	4020
ACCSL	0	0	0	0	1	0	0	1	1806
ACD	109	184	209	171	18	24	14	23	6105
ACE	19	32	40	22	6	13	5	16	11322
ACE2	62	24	126	81	678	231	46	35	3488
ACER1	0	0	1	0	0	0	0	0	1082
ACER2	593	512	538	543	79	61	82	122	2846
ACER3	151	128	102	106	363	286	290	346	4376
ACHE	16	19	48	59	10	5	3	4	5151
ACIN1	2236	2273	2210	2368	1218	1135	966	1681	19545
ACLY	3349	3444	2564	3553	1661	1326	1829	2149	8619
ACMSD	0	0	3	3	2	1	1	5	1240
ACN9	131	109	72	80	68	66	92	61	2055
ACO1	418	467	394	481	632	475	419	620	3527
ACO2	549	548	654	695	43	48	36	46	2723
ACOT1	42	46	29	22	5	11	5	5	1600
ACOT11	62	116	115	77	11	10	8	14	5163
ACOT12	0	0	1	1	6	4	2	5	1974
ACOT13	1279	1133	948	1452	1221	1104	2076	1210	8490
ACOT2	60	67	36	43	9	22	13	21	3355
ACOT4	60	74	50	64	5	11	11	8	1629
ACOT6	1	0	2	1	8	6	2	12	1002
ACOT7	758	870	657	1057	212	207	155	303	6238
ACOT8	95	78	96	100	6	14	7	13	1165
ACOT9	122	158	107	103	277	282	143	188	3396
ACOX1	2165	2222	1465	2004	574	561	665	676	22884
ACOX2	0	0	2	1	34	24	15	5	2294
ACOX3	29	49	33	60	63	46	26	39	5645
ACOXL	118	175	122	111	49	56	53	102	2355
ACP1	1026	1049	523	696	680	587	459	696	5318
ACP2	47	78	117	97	37	38	20	45	2918
ACP5	63	63	68	119	3	3	4	4	6247
ACP6	63	80	75	66	111	108	97	124	1798
ACPL2	78	118	107	104	278	240	203	215	6174
ACPP	82	82	49	55	71	60	38	37	5025
ACPT	2	5	5	1	0	2	0	3	1336
ACR	0	0	2	1	1	1	1	2	1365
ACRBP	6	1	7	8	8	6	1	10	1876
ACRC	26	22	44	54	22	21	16	28	3165
ACRV1	24	23	27	19	40	79	53	129	4250
ACSBG1	16	23	18	28	13	14	13	16	5920
ACSBG2	9	6	13	14	7	18	17	13	2697
ACSF2	128	219	199	139	16	21	12	35	2223
ACSF3	73	127	114	114	44	113	56	66	19705
ACSL1	72	70	71	120	145	77	44	63	3784
ACSL3	4512	4456	2838	3600	964	717	1839	931	8582
ACSL4	283	223	265	328	1125	855	766	529	10325
ACSL5	6	12	13	7	9	9	7	7	9887
ACSL6	88	81	233	154	97	139	87	132	38744
ACSM1	0	1	2	1	7	3	6	12	2038
ACSM2A	4	3	5	2	3	8	5	4	2949
ACSM2B	0	0	0	0	0	0	0	0	4818
ACSM3	1	4	3	4	34	25	35	40	3679
ACSM4	0	2	0	0	13	15	2	4	1730
ACSM5	0	0	0	0	0	0	0	0	2405
ACSS1	0	0	0	4	2	3	6	1	13252
ACSS2	491	499	342	340	30	39	24	33	8797
ACSS3	316	312	234	314	332	307	337	315	3017
ACTA1	173	104	119	141	884	500	291	432	1485
ACTA2	6	3	15	4	115	54	32	40	3139
ACTB	37002	31958	22473	34988	14439	10940	9284	16024	1806
ACTBL2	0	0	0	0	0	0	0	0	2793
ACTC1	29	22	214	60	2223	1192	1659	1325	3686
ACTG1	16855	11993	7440	10344	7204	5449	5568	6356	5909
ACTG2	89	37	150	116	256	152	261	358	2516
ACTL10	5	7	16	7	3	1	0	3	2027
ACTL6A	749	777	453	656	334	265	370	429	5436
ACTL6B	2	1	3	1	1	0	1	2	1517
ACTL7A	0	0	0	0	0	0	0	0	1432
ACTL7B	0	0	0	0	0	0	0	0	1406
ACTL8	2	7	0	0	3	1	0	1	1858
ACTL9	0	0	0	1	0	0	0	0	1421
ACTN1	797	704	886	1243	918	669	561	941	11162
ACTN2	6	8	12	9	24	27	19	24	4507
ACTN3	9	16	21	13	93	92	87	187	2836
ACTN4	4398	4662	5339	6028	1043	799	688	1252	3933
ACTR10	216	254	131	148	133	124	127	135	2428
ACTR1A	1407	1636	1415	2002	275	205	152	356	2862
ACTR1B	315	483	582	632	111	125	67	161	2247
ACTR2	3916	3851	2163	3880	3314	2267	3057	3735	7840
ACTR3	1733	1540	1016	1490	1286	916	1320	1373	2700
ACTR3B	125	130	138	134	208	207	236	264	4166
ACTR3BP2	0	0	0	0	0	0	1	2	1337
ACTR3BP5	0	0	0	0	1	0	0	1	1644
ACTR3C	10	19	16	18	29	26	28	37	2484
ACTR5	207	276	175	148	75	80	61	91	2470
ACTR6	319	313	180	240	87	79	81	80	1744
ACTR8	565	696	483	596	311	246	262	303	3615
ACTRT1	0	0	0	0	1	1	0	0	1441
ACTRT2	89	127	108	132	47	44	29	74	1421
ACVR1	666	816	618	667	326	265	185	325	5887
ACVR1B	785	839	753	1043	991	766	797	835	13739
ACVR1C	61	84	59	54	71	44	59	44	34645
ACVR2A	311	241	211	200	378	342	404	453	5233
ACVR2B	4468	4695	3891	5517	6318	5489	7356	8217	11362
ACVRL1	107	82	75	61	14	14	3	12	8370
